value_function,eta,n_interactions,n_instances,median_mse,mse_ratio_vs_interaction_free
cancer,base,,30,7.531894342502468e-06,1.0
cancer,50,200,30,3.8036131084037573e-07,0.05050008584082193
cancer,10,1000,30,8.605141308342904e-08,0.011424936300266593
cancer,5,2000,30,5.9275409746940395e-08,0.00786992050757395
cancer,2,5000,30,0.0005993418184857141,79.57384838813114
corrgroups60,base,,30,7.330069700097088e-06,1.0
corrgroups60,50,200,30,5.110602811478316e-06,0.6972106706448679
corrgroups60,10,1000,30,3.494979031964e-06,0.47680024542163746
corrgroups60,5,2000,30,4.243043794699764e-06,0.5788544950184531
corrgroups60,2,5000,30,0.0003143989851165976,42.8916774300841
independentlinear60,base,,30,9.803699697109548e-06,1.0
independentlinear60,50,200,30,2.012471913573559e-06,0.2052767807817391
independentlinear60,10,1000,30,1.236929099255221e-06,0.1261696234555112
independentlinear60,5,2000,30,1.439199669351513e-06,0.14680168852742767
independentlinear60,2,5000,30,0.0004813700591330624,49.10085722790816
nhanes,base,,30,6.882003613278115e-06,1.0
nhanes,50,200,30,1.997255019952286e-06,0.2902141777575921
nhanes,10,1000,30,8.206887947804619e-07,0.11925143328855971
nhanes,5,2000,30,7.946064370424983e-07,0.11546149663586158
nhanes,2,5000,30,0.00016780984486131973,24.38386468405044
crime,base,,30,2.0283487617498932e-05,1.0
crime,50,200,30,1.2132148780103887e-05,0.5981293261242343
crime,10,1000,30,1.2185171269021478e-05,0.6007433977236296
crime,5,2000,30,1.5825276294557737e-05,0.7802048934082216
crime,2,5000,30,0.0003865652484454006,19.058125295568193
