value_function,estimator,budget,n_instances,median_mse
cancer,MSR,31,10,3.244296e+00
cancer,MSR,64,10,1.379229e+00
cancer,MSR,131,10,4.066702e-01
cancer,MSR,268,10,1.439925e-01
cancer,MSR,550,10,7.813735e-02
cancer,MSR,1128,10,5.527351e-02
cancer,MSR,2315,10,2.748163e-02
cancer,MSR,4750,10,1.017975e-02
cancer,MSR,9746,10,4.455263e-03
cancer,MSR,20000,10,2.767277e-03
cancer,SVARM,31,10,8.685951e-01
cancer,SVARM,64,10,6.738224e-01
cancer,SVARM,131,10,3.953737e-01
cancer,SVARM,268,10,1.514857e-01
cancer,SVARM,550,10,2.111021e-02
cancer,SVARM,1128,10,5.480930e-03
cancer,SVARM,2315,10,2.583920e-03
cancer,SVARM,4750,10,8.670049e-04
cancer,SVARM,9746,10,5.653630e-04
cancer,SVARM,20000,10,2.216080e-04
cancer,PermSamp,31,10,2.044660e-02
cancer,PermSamp,64,10,1.207800e-02
cancer,PermSamp,131,10,2.587008e-03
cancer,PermSamp,268,10,2.625059e-03
cancer,PermSamp,550,10,1.294818e-03
cancer,PermSamp,1128,10,3.036443e-04
cancer,PermSamp,2315,10,1.144660e-04
cancer,PermSamp,4750,10,9.963800e-05
cancer,PermSamp,9746,10,2.739986e-05
cancer,PermSamp,20000,10,1.687230e-05
cancer,KernelSHAP,31,10,7.052598e+00
cancer,KernelSHAP,64,10,1.685319e-02
cancer,KernelSHAP,131,10,3.649538e-03
cancer,KernelSHAP,268,10,1.602190e-03
cancer,KernelSHAP,550,10,5.724182e-04
cancer,KernelSHAP,1128,10,3.717141e-04
cancer,KernelSHAP,2315,10,1.829205e-04
cancer,KernelSHAP,4750,10,1.004387e-04
cancer,KernelSHAP,9746,10,3.783817e-05
cancer,KernelSHAP,20000,10,2.034512e-05
cancer,kADDSHAP,31,10,1.650295e-01
cancer,kADDSHAP,64,10,8.401848e-04
cancer,kADDSHAP,131,10,8.398035e-04
cancer,kADDSHAP,268,10,8.406986e-04
cancer,kADDSHAP,550,10,3.769222e-04
cancer,kADDSHAP,1128,10,4.895102e-05
cancer,kADDSHAP,2315,10,1.478032e-05
cancer,kADDSHAP,4750,10,4.247210e-06
cancer,kADDSHAP,9746,10,2.378261e-06
cancer,kADDSHAP,20000,10,9.466104e-07
cancer,RegressionMSR,31,10,5.355440e-01
cancer,RegressionMSR,64,10,1.638476e-01
cancer,RegressionMSR,131,10,4.028334e-02
cancer,RegressionMSR,268,10,1.724619e-02
cancer,RegressionMSR,550,10,7.655803e-03
cancer,RegressionMSR,1128,10,2.293770e-03
cancer,RegressionMSR,2315,10,6.397411e-04
cancer,RegressionMSR,4750,10,1.507637e-04
cancer,RegressionMSR,9746,10,3.771545e-05
cancer,RegressionMSR,20000,10,7.385002e-06
cancer,OddSHAP,550,10,3.718495e-05
cancer,OddSHAP,1128,10,1.200917e-05
cancer,OddSHAP,2315,10,2.865970e-06
cancer,OddSHAP,4750,10,5.712565e-07
cancer,OddSHAP,9746,10,7.002618e-08
cancer,OddSHAP,20000,10,1.278873e-08
realestate,MSR,16,10,7.808823e+00
realestate,MSR,35,10,1.509314e+00
realestate,MSR,78,10,1.161272e+00
realestate,MSR,172,10,3.358170e-01
realestate,MSR,381,10,1.195285e-01
realestate,MSR,841,10,3.025187e-02
realestate,MSR,1857,10,6.951503e-03
realestate,MSR,4100,10,2.434915e-03
realestate,MSR,9056,10,8.814609e-04
realestate,MSR,20000,10,4.709433e-04
realestate,SVARM,16,10,8.288491e-01
realestate,SVARM,35,10,5.993880e-01
realestate,SVARM,78,10,4.012189e-01
realestate,SVARM,172,10,1.615495e-01
