value_function,estimator,budget,n_instances,median_mse
realestate,MSR,16,10,2.067930e+01
realestate,MSR,35,10,4.410192e+00
realestate,MSR,78,10,2.462750e+00
realestate,MSR,172,10,6.598445e-01
realestate,MSR,381,10,2.110056e-01
realestate,MSR,841,10,6.456319e-02
realestate,MSR,1857,10,1.848856e-02
realestate,MSR,4100,10,7.116270e-03
realestate,MSR,9056,10,2.510932e-03
realestate,MSR,20000,10,9.254037e-04
realestate,SVARM,16,10,2.709873e+00
realestate,SVARM,35,10,1.333908e+00
realestate,SVARM,78,10,8.858210e-01
realestate,SVARM,172,10,2.846953e-01
realestate,SVARM,381,10,1.178300e-01
realestate,SVARM,841,10,2.437442e-02
realestate,SVARM,1857,10,1.397467e-02
realestate,SVARM,4100,10,4.439920e-03
realestate,SVARM,9056,10,1.335370e-03
realestate,SVARM,20000,10,3.874577e-04
realestate,PermSamp,16,10,6.609749e-01
realestate,PermSamp,35,10,1.160836e-01
realestate,PermSamp,78,10,1.200092e-01
realestate,PermSamp,172,10,7.212359e-03
realestate,PermSamp,381,10,7.096916e-03
realestate,PermSamp,841,10,2.036150e-03
realestate,PermSamp,1857,10,2.161240e-03
realestate,PermSamp,4100,10,1.004802e-03
realestate,PermSamp,9056,10,5.473872e-04
realestate,PermSamp,20000,10,2.626690e-04
realestate,KernelSHAP,16,10,1.667744e+01
realestate,KernelSHAP,35,10,2.462061e-01
realestate,KernelSHAP,78,10,1.170274e-01
realestate,KernelSHAP,172,10,3.627854e-02
realestate,KernelSHAP,381,10,8.280084e-03
realestate,KernelSHAP,841,10,4.446629e-03
realestate,KernelSHAP,1857,10,1.325577e-03
realestate,KernelSHAP,4100,10,3.181833e-04
realestate,KernelSHAP,9056,10,1.488588e-04
realestate,KernelSHAP,20000,10,4.540348e-05
realestate,kADDSHAP,16,10,2.703667e+00
realestate,kADDSHAP,35,10,1.330663e-01
realestate,kADDSHAP,78,10,2.412554e-02
realestate,kADDSHAP,172,10,7.346722e-03
realestate,kADDSHAP,381,10,9.096417e-04
realestate,kADDSHAP,841,10,5.800049e-04
realestate,kADDSHAP,1857,10,1.616636e-04
realestate,kADDSHAP,4100,10,4.785248e-05
realestate,kADDSHAP,9056,10,1.062262e-05
realestate,kADDSHAP,20000,10,2.774239e-06
realestate,RegressionMSR,16,10,1.575213e-01
realestate,RegressionMSR,35,10,4.673662e-02
realestate,RegressionMSR,78,10,1.198028e-02
realestate,RegressionMSR,172,10,3.059420e-03
realestate,RegressionMSR,381,10,1.281314e-03
realestate,RegressionMSR,841,10,1.067252e-04
realestate,RegressionMSR,1857,10,7.266452e-06
realestate,RegressionMSR,4100,10,6.734275e-07
realestate,RegressionMSR,9056,10,1.114387e-07
realestate,RegressionMSR,20000,10,9.671289e-09
realestate,OddSHAP,172,10,2.094825e-03
realestate,OddSHAP,381,10,8.069577e-05
realestate,OddSHAP,841,10,2.560968e-05
realestate,OddSHAP,1857,10,1.358932e-06
realestate,OddSHAP,4100,10,2.291680e-08
realestate,OddSHAP,9056,10,2.529879e-09
realestate,OddSHAP,20000,10,2.203447e-11
crime,MSR,102,10,8.223308e+03
crime,MSR,183,10,4.706122e+03
crime,MSR,330,10,2.124733e+03
crime,MSR,593,10,1.188132e+03
crime,MSR,1065,10,5.794537e+02
crime,MSR,1915,10,2.494388e+02
crime,MSR,3443,10,1.444320e+02
crime,MSR,6189,10,8.219157e+01
crime,MSR,11125,10,4.430290e+01
crime,MSR,20000,10,2.912431e+01
crime,SVARM,102,10,2.745673e+03
crime,SVARM,183,10,3.793604e+03
crime,SVARM,330,10,3.178402e+03
crime,SVARM,593,10,2.289855e+03
crime,SVARM,1065,10,8.731365e+02
crime,SVARM,1915,10,1.082671e+02
crime,SVARM,3443,10,2.063744e+01
crime,SVARM,6189,10,8.998510e+00
crime,SVARM,11125,10,5.003910e+00
crime,SVARM,20000,10,2.429292e+00
crime,PermSamp,102,10,1.892853e+02
crime,PermSamp,183,10,1.892853e+02
crime,PermSamp,330,10,7.297575e+01
crime,PermSamp,593,10,3.714651e+01
crime,PermSamp,1065,10,1.689760e+01
crime,PermSamp,1915,10,7.261170e+00
crime,PermSamp,3443,10,4.981673e+00
crime,PermSamp,6189,10,2.677588e+00
crime,PermSamp,11125,10,1.600256e+00
crime,PermSamp,20000,10,9.924607e-01
crime,KernelSHAP,102,10,1.174174e+04
