value_function,estimator,config,n_instances,median_mse,q1,q3
cancer,MSR,xgb_classifier,30,0.028221065481438344,0.011943840401298018,0.05371131856906766
cancer,SVARM,xgb_classifier,30,0.0019074466845165577,0.0014191380817808684,0.0023647050206276354
cancer,PermSamp,xgb_classifier,30,9.842847824541963e-05,5.73503739145851e-05,0.0003060658816192107
cancer,KernelSHAP,xgb_classifier,30,0.00020217659669615173,0.00011096879639499463,0.00030234136511017123
cancer,kADDSHAP,xgb_classifier,30,1.603809560182611e-05,9.57511749220843e-06,2.255870694320856e-05
cancer,RegressionMSR,xgb_classifier,30,0.00043909669708618303,0.0003566312142580158,0.0005601253347883422
cancer,OddSHAP,xgb_classifier,30,1.916810983875663e-06,1.3681646866027456e-06,3.432151153323346e-06
realestate,MSR,xgb_classifier,30,0.009679590949861474,0.006108671449337231,0.014412809458371022
realestate,SVARM,xgb_classifier,30,0.005422389591246128,0.004087431881596732,0.0068772714054005065
realestate,PermSamp,xgb_classifier,30,0.0009031859320597383,0.0005913366557958764,0.0019418632696780321
realestate,KernelSHAP,xgb_classifier,30,0.0006995203316398675,0.0004064045716699041,0.00109819275568921
realestate,kADDSHAP,xgb_classifier,30,1.7654467209763483e-05,7.257857224749875e-06,3.5061892357686166e-05
realestate,RegressionMSR,xgb_classifier,30,2.811292018116501e-07,1.6780821924310538e-07,3.9326713526228694e-07
realestate,OddSHAP,xgb_classifier,30,5.247642685825124e-09,3.635763734496069e-09,1.8484683838047954e-08
corrgroups60,MSR,xgb_classifier,30,0.00444767777976483,0.0034077276491900066,0.008781769659895739
corrgroups60,SVARM,xgb_classifier,30,0.0016434067133128962,0.0014299493960877973,0.0019595157572072606
corrgroups60,PermSamp,xgb_classifier,30,0.00010005611941710574,8.381591154929462e-05,0.00013645700484587263
corrgroups60,KernelSHAP,xgb_classifier,30,0.00012047334941574037,8.612824693064967e-05,0.00016899789149395954
corrgroups60,kADDSHAP,xgb_classifier,30,2.660273711568372e-05,2.0313397495059403e-05,4.851166841934488e-05
corrgroups60,RegressionMSR,xgb_classifier,30,0.0011209055354632887,0.0008399731990741522,0.0014231530902237206
corrgroups60,OddSHAP,xgb_classifier,30,7.286904446712803e-06,5.794094707686695e-06,9.422963778402914e-06
independentlinear60,MSR,xgb_classifier,30,0.0056636070337074094,0.003942243672536464,0.009619329385819867
independentlinear60,SVARM,xgb_classifier,30,0.00335206149803777,0.002822849266139361,0.004252604347524874
independentlinear60,PermSamp,xgb_classifier,30,0.00012826413020986346,9.320191186844182e-05,0.000218861613696637
independentlinear60,KernelSHAP,xgb_classifier,30,0.00019242878510040528,0.00012670463389803942,0.0002697680147789791
independentlinear60,kADDSHAP,xgb_classifier,30,3.6276436310796326e-05,2.4063206854679544e-05,4.803138735103767e-05
independentlinear60,RegressionMSR,xgb_classifier,30,0.00015606998557034213,0.0001277810935045286,0.00017731927758886268
independentlinear60,OddSHAP,xgb_classifier,30,2.564412813335731e-06,2.1396898369388323e-06,2.9767890407591644e-06
nhanes,MSR,xgb_classifier,30,0.0013750634024410537,0.0006433819926901228,0.0020366829310778465
nhanes,SVARM,xgb_classifier,30,0.00039376135187541434,0.00029148979480430703,0.0006402381511670631
nhanes,PermSamp,xgb_classifier,30,5.935628759034368e-05,3.935716034229323e-05,0.00010618703847895486
nhanes,KernelSHAP,xgb_classifier,30,5.980336801258404e-05,4.330876768646412e-05,0.0001278485836799611
nhanes,kADDSHAP,xgb_classifier,30,3.94231298158171e-05,2.4229394472360123e-05,0.00010713208785342168
nhanes,RegressionMSR,xgb_classifier,30,2.7349245238345963e-05,1.752860132057564e-05,3.238158085548753e-05
nhanes,OddSHAP,xgb_classifier,30,1.40755899034387e-06,1.0792370137635213e-06,2.479727432520617e-06
crime,MSR,xgb_classifier,30,0.008542686479333095,0.002124057975306333,0.015532195701793643
crime,SVARM,xgb_classifier,30,0.0006217258418429231,0.0005249461831152923,0.0007419614855818306
crime,PermSamp,xgb_classifier,30,9.794077024062077e-05,7.626043081780488e-05,0.00015597276237929198
crime,KernelSHAP,xgb_classifier,30,0.00013336742791228423,8.407057413311415e-05,0.00020020561339136319
crime,kADDSHAP,xgb_classifier,30,0.00018139604115487658,0.00015331475945417104,0.0002779362190408808
crime,RegressionMSR,xgb_classifier,30,0.00044820888202875045,0.00039047185764546233,0.0005373466207335224
crime,OddSHAP,xgb_classifier,30,1.241566510150552e-05,9.226807384150428e-06,1.4218411679867017e-05
