value_function,estimator,config,n_instances,median_mse,q1,q3
realestate,MSR,xgb_regressor,30,0.03853962346765811,0.019093834119022154,0.06112269864187214
realestate,SVARM,xgb_regressor,30,0.026550789073674162,0.013707009719442702,0.038712483701872136
realestate,PermSamp,xgb_regressor,30,0.0045654593817522,0.001924532289883981,0.005809619647562367
realestate,KernelSHAP,xgb_regressor,30,0.002164463596077742,0.0015619790713307796,0.0038978559603695022
realestate,kADDSHAP,xgb_regressor,30,0.0001820054602457132,9.71957806696373e-05,0.00033254903751180667
realestate,RegressionMSR,xgb_regressor,30,9.598409052425567e-06,5.367437588910419e-06,1.850019731520562e-05
realestate,OddSHAP,xgb_regressor,30,8.5920487881346e-07,5.633629728963514e-07,1.5926346802062333e-06
crime,MSR,xgb_regressor,30,36.49393398092005,16.720598710896468,71.02608534863201
crime,SVARM,xgb_regressor,30,4.548056052833349,3.2291497400231126,8.17088607801178
crime,PermSamp,xgb_regressor,30,1.7974319179168423,0.8589181402793731,2.9273172601658164
crime,KernelSHAP,xgb_regressor,30,2.0480225288287404,1.0571276985266325,4.645046515998567
crime,kADDSHAP,xgb_regressor,30,3.634436094441491,1.5750015939197728,6.416895115790116
crime,RegressionMSR,xgb_regressor,30,2.173559267640681,1.4052208599398028,2.8960865773232416
crime,OddSHAP,xgb_regressor,30,0.14192000922722556,0.08043594449116462,0.18903505753601146
