vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
cancer,v522_merged,5000,50,100,30,2.1687784503538983e-06,0.1948850095323839,0.11406487329738085,0.2800070535637311
cancer,v522_merged,5000,10,500,30,5.562815788993895e-07,0.049987097939306224,0.03451627345339881,0.09360274736080433
cancer,v522_merged,5000,5,1000,30,4.094441549059636e-07,0.03679238329706146,0.022590400839502398,0.04889427211886119
cancer,v522_merged,5000,2,2500,30,0.00036623955805480514,32.91004655224233,21.724375476749387,67.24262678940026
cancer,v522_merged,5000,base,0,30,1.1128503190459673e-05,1.0,1.0,1.0
cancer,v522_merged,10000,50,200,30,3.8036131084037573e-07,0.05050008584082193,0.039472492372149344,0.08323215038067501
cancer,v522_merged,10000,10,1000,30,8.605141308342904e-08,0.011424936300266593,0.006456077696501547,0.017422121465855114
cancer,v522_merged,10000,5,2000,30,5.9275409746940395e-08,0.00786992050757395,0.005432956296394077,0.012712656685425842
cancer,v522_merged,10000,2,5000,30,0.0005993418184857141,79.57384838813114,50.12899644585499,134.05379908001942
cancer,v522_merged,10000,base,0,30,7.531894342502468e-06,1.0,1.0,1.0
cancer,v522_merged,20000,50,400,30,8.420888937609015e-08,0.027994327838577394,0.014621434715393025,0.03441802027067224
cancer,v522_merged,20000,10,2000,30,1.331589570627339e-08,0.004426724454242294,0.0021769038693843453,0.006777447037305731
cancer,v522_merged,20000,5,4000,30,1.3722281646278777e-08,0.004561823032525282,0.0012494852991859714,0.006678359653284172
cancer,v522_merged,20000,2,10000,30,1.7983474101722203e-08,0.00597841003972581,0.0015671212881988414,0.01421917282890683
cancer,v522_merged,20000,base,0,30,3.0080697011787745e-06,1.0,1.0,1.0
