vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
cancer,v560_improved,5000,50,100,30,2.1687784503539076e-06,0.1948850095323935,0.11406487329734935,0.28000705356372313
cancer,v560_improved,5000,10,500,30,5.56281578898744e-07,0.04998709793925046,0.034516273453422,0.09360274736092876
cancer,v560_improved,5000,5,1000,30,4.094441549056505e-07,0.03679238329703497,0.02259040083944842,0.048894272118912986
cancer,v560_improved,5000,2,2500,30,0.0003662395580553701,32.910046552294574,21.72437547674397,67.24262678942131
cancer,v560_improved,5000,base,0,30,1.1128503190459175e-05,1.0,1.0,1.0
cancer,v560_improved,10000,50,200,30,3.8036131084046223e-07,0.05050008584083354,0.03947249237214905,0.08323215038067952
cancer,v560_improved,10000,10,1000,30,8.60514130833784e-08,0.011424936300259897,0.0064560776964916805,0.01742212146588047
cancer,v560_improved,10000,5,2000,30,5.9275409747207105e-08,0.00786992050760938,0.005432956296449861,0.012712656685461305
cancer,v560_improved,10000,2,5000,30,0.0005993418184856405,79.57384838812155,50.128996445857716,134.05379908003601
cancer,v560_improved,10000,base,0,30,7.5318943425024505e-06,1.0,1.0,1.0
cancer,v560_improved,20000,50,400,30,8.420888937626227e-08,0.02799432783864865,0.01462143471544853,0.034418020270651765
cancer,v560_improved,20000,10,2000,30,1.3315895706206035e-08,0.004426724454222122,0.002176903869347545,0.006777447037237283
cancer,v560_improved,20000,5,4000,30,1.372228164629994e-08,0.004561823032534605,0.0012494852991751224,0.0066783596532696875
cancer,v560_improved,20000,2,10000,30,1.7983474101808187e-08,0.005978410039757392,0.001567121288192285,0.014219172828988281
cancer,v560_improved,20000,base,0,30,3.0080697011772664e-06,1.0,1.0,1.0
