vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
corrgroups60,v522_merged,5000,50,100,30,1.2573482665960474e-05,0.92712315361259,0.6536376336251547,1.154825840762471
corrgroups60,v522_merged,5000,10,500,30,9.16190140806265e-06,0.6755654858877406,0.5214683892367205,0.9584463247106972
corrgroups60,v522_merged,5000,5,1000,30,1.0991471125862518e-05,0.8104713422510569,0.6001229285569505,1.1125383125759931
corrgroups60,v522_merged,5000,2,2500,30,0.0005496938588710197,40.53243778970474,31.634867151446354,55.322198800386325
corrgroups60,v522_merged,5000,base,0,30,1.3561825758495146e-05,1.0,1.0,1.0
corrgroups60,v522_merged,10000,50,200,30,5.110602811478316e-06,0.6972106706448679,0.5133514735238586,0.9428625122666532
corrgroups60,v522_merged,10000,10,1000,30,3.494979031964e-06,0.47680024542163746,0.35585153258567026,0.6137494063869464
corrgroups60,v522_merged,10000,5,2000,30,4.243043794699764e-06,0.5788544950184531,0.454781574278633,0.6617387161187462
corrgroups60,v522_merged,10000,2,5000,30,0.0003143989851165976,42.8916774300841,38.05530165079633,58.794790377441295
corrgroups60,v522_merged,10000,base,0,30,7.330069700097088e-06,1.0,1.0,1.0
corrgroups60,v522_merged,20000,50,400,30,1.8746364737626677e-06,0.5193509882979788,0.3940171426290459,0.6300988082056749
corrgroups60,v522_merged,20000,10,2000,30,1.26028083271502e-06,0.34914934450721125,0.30119968341944164,0.4529312878403855
corrgroups60,v522_merged,20000,5,4000,30,1.4863661192617498e-06,0.41178421726843606,0.30339327663006044,0.487660504208965
corrgroups60,v522_merged,20000,2,10000,30,0.00031336721802940047,86.81553819183904,63.1237917282119,114.12808934323927
corrgroups60,v522_merged,20000,base,0,30,3.609575250653207e-06,1.0,1.0,1.0
