vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
corrgroups60,v560_improved,5000,50,100,30,1.2573482665960652e-05,0.9271231536126584,0.6536376336251839,1.1548258407625454
corrgroups60,v560_improved,5000,10,500,30,9.161901408062304e-06,0.6755654858877554,0.5214683892367391,0.9584463247109448
corrgroups60,v560_improved,5000,5,1000,30,1.0991471125862527e-05,0.8104713422511058,0.6001229285569193,1.1125383125759414
corrgroups60,v560_improved,5000,2,2500,30,0.0005496938588709559,40.53243778970245,31.63486715144865,55.322198800384825
corrgroups60,v560_improved,5000,base,0,30,1.3561825758494336e-05,1.0,1.0,1.0
corrgroups60,v560_improved,10000,50,200,30,5.110602811477891e-06,0.6972106706448657,0.5133514735239262,0.9428625122667417
corrgroups60,v560_improved,10000,10,1000,30,3.4949790319652265e-06,0.476800245421843,0.3558515325857615,0.6137494063869784
corrgroups60,v560_improved,10000,5,2000,30,4.243043794699252e-06,0.5788544950184297,0.4547815742783822,0.6617387161184223
corrgroups60,v560_improved,10000,2,5000,30,0.0003143989851156849,42.891677429963025,38.05530165077017,58.79479037737443
corrgroups60,v560_improved,10000,base,0,30,7.3300697000965e-06,1.0,1.0,1.0
corrgroups60,v560_improved,20000,50,400,30,1.874636473762922e-06,0.5193509882980145,0.3940171426290479,0.6300988082056536
corrgroups60,v560_improved,20000,10,2000,30,1.260280832714534e-06,0.34914934450705326,0.30119968341935277,0.45293128784031633
corrgroups60,v560_improved,20000,5,4000,30,1.486366119261266e-06,0.41178421726827447,0.30339327663002086,0.4876605042089602
corrgroups60,v560_improved,20000,2,10000,30,0.00031336721802932967,86.81553819181362,63.12379172634235,114.12808934392031
corrgroups60,v560_improved,20000,base,0,30,3.6095752506534486e-06,1.0,1.0,1.0
