vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
crime,v522_merged,5000,50,100,30,nan,nan,nan,nan
crime,v522_merged,5000,10,500,30,2.7058784632629815e-05,0.6227015226437771,0.4567604273859835,0.7347132806908808
crime,v522_merged,5000,5,1000,30,3.651219761430638e-05,0.8402521162048718,0.5922294270375145,0.9674506810751025
crime,v522_merged,5000,2,2500,30,0.0009497606551585028,21.856761644836364,15.719733908290774,29.00212135918028
crime,v522_merged,5000,base,0,30,4.345385975249827e-05,1.0,1.0,1.0
crime,v522_merged,10000,50,200,30,1.2132148780103887e-05,0.5981293261242343,0.45144475396823436,0.9239088572770459
crime,v522_merged,10000,10,1000,30,1.2185171269021478e-05,0.6007433977236296,0.4931772620866085,0.7558388960009806
crime,v522_merged,10000,5,2000,30,1.5825276294557737e-05,0.7802048934082216,0.5895784847244657,0.8749436690845077
crime,v522_merged,10000,2,5000,30,0.0003865652484454006,19.058125295568193,14.09448582005849,23.170493031283083
crime,v522_merged,10000,base,0,30,2.0283487617498932e-05,1.0,1.0,1.0
crime,v522_merged,20000,50,400,30,5.142399666269218e-06,0.49746583354995044,0.426133294219139,0.6469916669404823
crime,v522_merged,20000,10,2000,30,4.9827575951466515e-06,0.4820223672434422,0.37681647414797825,0.6211257892624842
crime,v522_merged,20000,5,4000,30,5.876541623740271e-06,0.5684853117155376,0.4984539056585451,0.7507418152639649
crime,v522_merged,20000,2,10000,30,0.00018576225332265304,17.970282395089267,14.640022089274154,20.798073653051244
crime,v522_merged,20000,base,0,30,1.0337191661129167e-05,1.0,1.0,1.0
