vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
crime,v560_improved,5000,50,100,30,4.5882713322935515e-05,1.0558950018311564,0.6705312236923308,1.4151426036541732
crime,v560_improved,5000,10,500,30,2.7058784632628222e-05,0.622701522643733,0.4567604273859919,0.7347132806908477
crime,v560_improved,5000,5,1000,30,3.6512197614307126e-05,0.840252116204879,0.5922294270374877,0.9674506810750575
crime,v560_improved,5000,2,2500,30,0.0009497606551599599,21.85676164486964,15.719733908287532,29.00212135918702
crime,v560_improved,5000,base,0,30,4.345385975249879e-05,1.0,1.0,1.0
crime,v560_improved,10000,50,200,30,1.2132148780103578e-05,0.5981293261242088,0.4514447539682451,0.9239088572770251
crime,v560_improved,10000,10,1000,30,1.2185171269022479e-05,0.6007433977236687,0.49317726208657847,0.7558388960009453
crime,v560_improved,10000,5,2000,30,1.5825276294557747e-05,0.7802048934082086,0.5895784847244089,0.8749436690844058
crime,v560_improved,10000,2,5000,30,0.0003865652484454686,19.058125295571216,14.094485820058972,23.170493031280742
crime,v560_improved,10000,base,0,30,2.028348761749928e-05,1.0,1.0,1.0
crime,v560_improved,20000,50,400,30,5.1423996662691984e-06,0.4974658335499276,0.42613329421910234,0.6469916669404723
crime,v560_improved,20000,10,2000,30,4.982757595147366e-06,0.48202236724349107,0.37681647414795605,0.6211257892624914
crime,v560_improved,20000,5,4000,30,5.876541623740186e-06,0.5684853117155055,0.4984539056585458,0.7507418152639322
crime,v560_improved,20000,2,10000,30,0.00018576225332258834,17.97028239508225,14.640022089277368,20.798073653048245
crime,v560_improved,20000,base,0,30,1.0337191661129602e-05,1.0,1.0,1.0
