vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
independentlinear60,v522_merged,5000,50,100,30,6.896702890598658e-06,0.40434121126915207,0.32877731825688655,0.5222090077938538
independentlinear60,v522_merged,5000,10,500,30,3.527489217090446e-06,0.20681030999921982,0.1509693486859343,0.25941652187917796
independentlinear60,v522_merged,5000,5,1000,30,3.581635879872183e-06,0.20998483086268843,0.17429942616126504,0.2743300311932421
independentlinear60,v522_merged,5000,2,2500,30,0.0008543752334739508,50.09047399332506,38.088876625598395,57.30197236686886
independentlinear60,v522_merged,5000,base,0,30,1.7056641020961447e-05,1.0,1.0,1.0
independentlinear60,v522_merged,10000,50,200,30,2.012471913573559e-06,0.2052767807817391,0.18297634533151594,0.2572973722380083
independentlinear60,v522_merged,10000,10,1000,30,1.236929099255221e-06,0.1261696234555112,0.10514194402580834,0.14558131554237044
independentlinear60,v522_merged,10000,5,2000,30,1.439199669351513e-06,0.14680168852742767,0.11408808949499642,0.16619124097229107
independentlinear60,v522_merged,10000,2,5000,30,0.0004813700591330624,49.10085722790816,39.41617942498026,59.07541011493083
independentlinear60,v522_merged,10000,base,0,30,9.803699697109548e-06,1.0,1.0,1.0
independentlinear60,v522_merged,20000,50,400,30,6.341016664075374e-07,0.12851530665770688,0.10450002473483416,0.15107807340306265
independentlinear60,v522_merged,20000,10,2000,30,4.4343329123756783e-07,0.08987196915676625,0.0642758182303581,0.10067132189478963
independentlinear60,v522_merged,20000,5,4000,30,5.379645015249455e-07,0.109030896064551,0.09117241037620778,0.13619943172625978
independentlinear60,v522_merged,20000,2,10000,30,5.730764210486463e-06,1.1614713521669509,0.6141133719590844,78.98006101804927
independentlinear60,v522_merged,20000,base,0,30,4.934055583716815e-06,1.0,1.0,1.0
