vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
independentlinear60,v560_improved,5000,50,100,30,6.896702890598798e-06,0.4043412112691632,0.3287773182568751,0.5222090077938996
independentlinear60,v560_improved,5000,10,500,30,3.5274892170897045e-06,0.20681030999917785,0.15096934868595602,0.2594165218791389
independentlinear60,v560_improved,5000,5,1000,30,3.5816358798724752e-06,0.2099848308627071,0.17429942616125885,0.2743300311934274
independentlinear60,v560_improved,5000,2,2500,30,0.0008543752334740237,50.09047399332971,38.08887662561577,57.301972366872576
independentlinear60,v560_improved,5000,base,0,30,1.7056641020961322e-05,1.0,1.0,1.0
independentlinear60,v560_improved,10000,50,200,30,2.0124719135733603e-06,0.2052767807817153,0.1829763453314241,0.25729737223797366
independentlinear60,v560_improved,10000,10,1000,30,1.2369290992550185e-06,0.12616962345548838,0.10514194402575155,0.14558131554231263
independentlinear60,v560_improved,10000,5,2000,30,1.4391996693521337e-06,0.14680168852748846,0.114088089494824,0.16619124097233776
independentlinear60,v560_improved,10000,2,5000,30,0.0004813700591329723,49.10085722789812,39.41617942496923,59.075410114922356
independentlinear60,v560_improved,10000,base,0,30,9.803699697109718e-06,1.0,1.0,1.0
independentlinear60,v560_improved,20000,50,400,30,6.341016664072792e-07,0.1285153066576526,0.10450002473480557,0.1510780734030322
independentlinear60,v560_improved,20000,10,2000,30,4.4343329123777874e-07,0.08987196915680762,0.06427581823043461,0.10067132189454155
independentlinear60,v560_improved,20000,5,4000,30,5.379645015249829e-07,0.10903089606455692,0.09117241037597691,0.1361994317265359
independentlinear60,v560_improved,20000,2,10000,30,5.730764210499813e-06,1.161471352169639,0.6141133719585716,78.98006104120645
independentlinear60,v560_improved,20000,base,0,30,4.93405558371689e-06,1.0,1.0,1.0
