vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
nhanes,v522_merged,5000,50,100,30,8.196956592655247e-06,0.5059358436070422,0.3575747108378985,1.29924435879664
nhanes,v522_merged,5000,10,500,30,3.218490604895318e-06,0.19865296844295957,0.15419222169489658,0.35576897710558475
nhanes,v522_merged,5000,5,1000,30,2.9693187338940964e-06,0.18327348224791168,0.13477714757278578,0.26873281720617315
nhanes,v522_merged,5000,2,2500,30,0.00014747201705787323,9.102327005789142,5.753969595632413,10.722022960858292
nhanes,v522_merged,5000,base,0,30,1.6201573176186706e-05,1.0,1.0,1.0
nhanes,v522_merged,10000,50,200,30,1.997255019952286e-06,0.2902141777575921,0.21823080014259866,0.6033646128781397
nhanes,v522_merged,10000,10,1000,30,8.206887947804619e-07,0.11925143328855971,0.09459348460372832,0.22430831558109796
nhanes,v522_merged,10000,5,2000,30,7.946064370424983e-07,0.11546149663586158,0.07553569208095991,0.16866622016687174
nhanes,v522_merged,10000,2,5000,30,0.00016780984486131973,24.38386468405044,16.13277781632233,34.991022827092266
nhanes,v522_merged,10000,base,0,30,6.882003613278115e-06,1.0,1.0,1.0
nhanes,v522_merged,20000,50,400,30,5.941222482341542e-07,0.1833690667646513,0.1338918223664337,0.37816098343183946
nhanes,v522_merged,20000,10,2000,30,2.456518588679301e-07,0.07581764905033678,0.06228760281565239,0.15738731930778038
nhanes,v522_merged,20000,5,4000,30,2.2344162986725335e-07,0.06896271477277346,0.046706210998592006,0.12401414428721674
nhanes,v522_merged,20000,2,10000,30,0.00020079222427812833,61.97223364200274,6.2457028808046795,101.11582541647353
nhanes,v522_merged,20000,base,0,30,3.240035294484496e-06,1.0,1.0,1.0
