vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
nhanes,v560_improved,5000,50,100,30,8.196956592655315e-06,0.5059358436070455,0.35757471083789466,1.299244358796655
nhanes,v560_improved,5000,10,500,30,3.2184906048953617e-06,0.1986529684429619,0.15419222169489397,0.35576897710562505
nhanes,v560_improved,5000,5,1000,30,2.969318733895006e-06,0.1832734822479675,0.13477714757278988,0.2687328172061519
nhanes,v560_improved,5000,2,2500,30,0.00014747201705776574,9.102327005782492,5.753969595630704,10.722022960862143
nhanes,v560_improved,5000,base,0,30,1.6201573176186736e-05,1.0,1.0,1.0
nhanes,v560_improved,10000,50,200,30,1.997255019952224e-06,0.29021417775759384,0.2182308001426038,0.6033646128781697
nhanes,v560_improved,10000,10,1000,30,8.2068879478064e-07,0.11925143328858998,0.09459348460375262,0.22430831558114508
nhanes,v560_improved,10000,5,2000,30,7.946064370424801e-07,0.11546149663586319,0.0755356920809696,0.16866622016688557
nhanes,v560_improved,10000,2,5000,30,0.00016780984486127194,24.383864684044394,16.13277781632557,34.99102282708901
nhanes,v560_improved,10000,base,0,30,6.882003613277861e-06,1.0,1.0,1.0
nhanes,v560_improved,20000,50,400,30,5.941222482342226e-07,0.1833690667646834,0.1338918223664405,0.37816098343182125
nhanes,v560_improved,20000,10,2000,30,2.456518588678406e-07,0.07581764905031371,0.062287602815663055,0.1573873193077775
nhanes,v560_improved,20000,5,4000,30,2.2344162986715e-07,0.0689627147727457,0.04670621099859784,0.12401414428730534
nhanes,v560_improved,20000,2,10000,30,0.00020079222427812196,61.97223364200448,6.2457028808064665,101.11582541647772
nhanes,v560_improved,20000,base,0,30,3.240035294484302e-06,1.0,1.0,1.0
