vf,estimator,variant,budget,n,median,q1,q3
cancer,MSR,v560_improved,31,30,4.24540160403251,2.0433628274096156,8.90888872834994
cancer,SVARM,v560_improved,31,30,1.1294639151506685,0.5258542556670772,2.4315377733316548
cancer,PermSamp,v560_improved,31,30,0.020863337348223328,0.015435772468650667,0.02513731186183327
cancer,KernelSHAP,v560_improved,31,30,1.1362189444940092,0.644967851184038,2.112130231132171
cancer,kADDSHAP,v560_improved,31,30,0.15264170919193548,0.12090598459298407,0.256653819829935
cancer,RegressionMSR,v560_improved,31,30,0.5736341015292903,0.25004556564305797,1.1140759424781488
cancer,OddSHAP,v560_improved,31,30,0.6195232086937491,0.47940397404848,1.5018954875277366
cancer,MSR,v560_improved,64,30,1.8744512072067696,0.8880203262692807,3.3526955897722632
cancer,SVARM,v560_improved,64,30,0.8720075607261134,0.3923351688580945,1.9585091892745015
cancer,PermSamp,v560_improved,64,30,0.01389087269312826,0.009791851604047835,0.02105501420058034
cancer,KernelSHAP,v560_improved,64,30,0.0200036441325657,0.013541115611858223,0.04489425892326383
cancer,kADDSHAP,v560_improved,64,30,0.001161158159747348,0.0006315335272469708,0.0025507857839331123
cancer,RegressionMSR,v560_improved,64,30,0.19629038983293723,0.0576098450723371,0.2992234554353513
cancer,OddSHAP,v560_improved,64,30,0.07688577213454811,0.05735254470563114,0.12774930528669592
cancer,MSR,v560_improved,131,30,0.6279548533542614,0.28708435073117144,1.1388607972301878
cancer,SVARM,v560_improved,131,30,0.5226042329450752,0.24337205541280854,1.2397909992768692
cancer,PermSamp,v560_improved,131,30,0.00264081904376287,0.0018430256411122873,0.0038940359877098207
cancer,KernelSHAP,v560_improved,131,30,0.0051229123263996975,0.003019272949928517,0.010651546390324937
cancer,kADDSHAP,v560_improved,131,30,0.0011611176247251927,0.0006313698212024644,0.0025532416431979805
cancer,RegressionMSR,v560_improved,131,30,0.06336412398324229,0.03178825029368674,0.11642793474872347
cancer,OddSHAP,v560_improved,131,30,0.007361649794241667,0.005938013097838114,0.010064444517779443
cancer,MSR,v560_improved,268,30,0.16541254530786434,0.06504710700245114,0.36862611247887617
cancer,SVARM,v560_improved,268,30,0.1825489792578676,0.07940993225899537,0.44196795188989624
cancer,PermSamp,v560_improved,268,30,0.003395025056190618,0.002160984379163105,0.005309138576037388
cancer,KernelSHAP,v560_improved,268,30,0.0020348159630253137,0.0013479213944477646,0.004205906059000163
cancer,kADDSHAP,v560_improved,268,30,0.0011610204022446022,0.0006313457323768583,0.0025527414120733046
cancer,RegressionMSR,v560_improved,268,30,0.021838003012866827,0.016818247692255567,0.03102811404695637
cancer,OddSHAP,v560_improved,268,30,0.00033540575542208924,0.00019699328412596122,0.0007312996017978492
cancer,MSR,v560_improved,550,30,0.10207349624637232,0.046763752042916586,0.20806755406185914
cancer,SVARM,v560_improved,550,30,0.019284188437929686,0.014830685715252704,0.036514218307110116
