vf,estimator,variant,budget,n,median,q1,q3
corrgroups60,MSR,v522_merged,61,30,0.7328678688217833,0.5059228430058709,1.3675523171827149
corrgroups60,SVARM,v522_merged,61,30,0.18099170262508962,0.153488050275433,0.29979733363570393
corrgroups60,PermSamp,v522_merged,61,30,0.010623418760554957,0.00852582203852487,0.012928999117988955
corrgroups60,KernelSHAP,v522_merged,61,30,4.9936646409727725,1.4275871068495527,12.985557372847731
corrgroups60,kADDSHAP,v522_merged,61,30,0.09368055334984736,0.07174820061390166,0.11531686007176549
corrgroups60,RegressionMSR,v522_merged,61,30,0.12493908838239298,0.09409611241924797,0.16995142403406277
corrgroups60,MSR,v522_merged,116,30,0.43942807386322313,0.24818381459016617,0.839594671291472
corrgroups60,SVARM,v522_merged,116,30,0.2773080457964332,0.2006269199394796,0.5760540696069124
corrgroups60,PermSamp,v522_merged,116,30,0.010623418760554957,0.00852582203852487,0.012928999117988955
corrgroups60,KernelSHAP,v522_merged,116,30,0.018210454969757574,0.01437825094076711,0.02802334128628633
corrgroups60,kADDSHAP,v522_merged,116,30,1.785290281617719e+31,6.067349953273651e+30,8.611409626147568e+31
corrgroups60,RegressionMSR,v522_merged,116,30,0.0648296006160706,0.04991999278118507,0.07874863431352158
corrgroups60,MSR,v522_merged,221,30,0.265221231491379,0.12461057410603643,0.44060149389783043
corrgroups60,SVARM,v522_merged,221,30,0.25341513491772033,0.16698674373444738,0.5401502032565768
corrgroups60,PermSamp,v522_merged,221,30,0.003497010313761378,0.002777847573675241,0.004201461333971617
corrgroups60,KernelSHAP,v522_merged,221,30,0.006616681772478506,0.0038457722402826756,0.011222823101000722
corrgroups60,kADDSHAP,v522_merged,221,30,0.0007450743933682942,0.0005730466311334652,0.0011588230069173807
corrgroups60,RegressionMSR,v522_merged,221,30,0.03928918535493849,0.029835206642254343,0.048661796181994864
corrgroups60,MSR,v522_merged,421,30,0.12288386921778263,0.06635065450235045,0.2038809760972282
corrgroups60,SVARM,v522_merged,421,30,0.11324347290757095,0.08458094821850852,0.22702627801713954
corrgroups60,PermSamp,v522_merged,421,30,0.0013979729749501826,0.0010662699207781537,0.0016573843332392344
corrgroups60,KernelSHAP,v522_merged,421,30,0.0029214954667072706,0.0021978046452234487,0.004323736088598118
corrgroups60,kADDSHAP,v522_merged,421,30,0.0007451082710163591,0.0005729546143686698,0.001158653914552178
corrgroups60,RegressionMSR,v522_merged,421,30,0.024372104681791962,0.01890554728035564,0.028106419862183808
corrgroups60,MSR,v522_merged,801,30,0.04270870678241896,0.026778984804293776,0.07684562431305306
corrgroups60,SVARM,v522_merged,801,30,0.03492906659839935,0.02575205840448252,0.05177820813340571
corrgroups60,PermSamp,v522_merged,801,30,0.0006626765302568801,0.000500862952330696,0.0008323367634016664
