vf,estimator,variant,budget,n,median,q1,q3
crime,MSR,v560_improved,102,30,1.0161799384322836,0.3019848404440456,2.1477405300573262
crime,SVARM,v560_improved,102,30,0.329599704931652,0.10737557243689544,0.6459501178305261
crime,PermSamp,v560_improved,102,30,0.009652824866361993,0.007882086807846085,0.011340037250486951
crime,KernelSHAP,v560_improved,102,30,443.7045651950965,75.26700509228674,1016.1132907684729
crime,kADDSHAP,v560_improved,102,30,0.029032817178551905,0.023933148787402762,0.03689323689354517
crime,RegressionMSR,v560_improved,102,30,0.033411121738354026,0.02278028639405538,0.060499657930690065
crime,OddSHAP,v560_improved,102,30,0.023812234719349172,0.019182784264188818,0.03521073815202979
crime,MSR,v560_improved,183,30,0.6011903031623982,0.17269164263716968,1.222858710711162
crime,SVARM,v560_improved,183,30,0.4458438998324258,0.1356520017745225,0.9064949627960524
crime,PermSamp,v560_improved,183,30,0.009652824866361993,0.007882086807846085,0.011340037250486951
crime,KernelSHAP,v560_improved,183,30,0.02035986404835498,0.014200086066642317,0.024352154176086195
crime,kADDSHAP,v560_improved,183,30,1.5227402681098964e+94,2.0025481394640855e+92,1.6196600550006908e+95
crime,RegressionMSR,v560_improved,183,30,0.01959669442520471,0.015380947107755302,0.026434765554839694
crime,OddSHAP,v560_improved,183,30,0.010434294491084,0.008840825837218989,0.015309456099272731
crime,MSR,v560_improved,330,30,0.2722973530365792,0.0898117654766903,0.5251583878207317
crime,SVARM,v560_improved,330,30,0.4324060413606432,0.1342768315622042,0.8313302606125644
crime,PermSamp,v560_improved,330,30,0.003442887404901936,0.0024505794920184607,0.004430502802420293
crime,KernelSHAP,v560_improved,330,30,0.0063791659046378,0.004396014045902506,0.008393075950208644
crime,kADDSHAP,v560_improved,330,30,0.0010168681921553704,0.0007897933495421959,0.0013970761010414353
crime,RegressionMSR,v560_improved,330,30,0.01191117470498365,0.009258734419840226,0.016204163253779442
crime,OddSHAP,v560_improved,330,30,0.005097347615298906,0.004454072810210495,0.0061692546384042955
crime,MSR,v560_improved,593,30,0.14999650582474697,0.04572330326244899,0.311045645035934
crime,SVARM,v560_improved,593,30,0.3069277135309593,0.08777961188656562,0.5943833653479638
