vf,estimator,variant,budget,n,median,q1,q3
distilbert,MSR,v522_merged,15,30,0.3574322,0.06992173,0.8078643249999999
distilbert,MSR,v522_merged,33,30,0.08171563500000001,0.0334084325,0.29795835000000004
distilbert,MSR,v522_merged,71,30,0.05070642,0.019095584999999998,0.1763243
distilbert,MSR,v522_merged,154,30,0.0145078585,0.003619783,0.0373639425
distilbert,MSR,v522_merged,336,30,0.0044001205,0.0010959765,0.008616947
distilbert,MSR,v522_merged,731,30,0.0021577295,0.00073254035,0.00631217425
distilbert,MSR,v522_merged,1591,30,0.00044721455,0.000160809375,0.001486519
distilbert,SVARM,v522_merged,15,30,0.03728684,0.0092060695,0.0916490925
distilbert,SVARM,v522_merged,33,30,0.029645125,0.0111545825,0.0805783975
distilbert,SVARM,v522_merged,71,30,0.027597915,0.00574939375,0.049104085
distilbert,SVARM,v522_merged,154,30,0.0048914284999999995,0.0010572558,0.00967741025
distilbert,SVARM,v522_merged,336,30,0.001523089,0.000217462875,0.003550881
distilbert,SVARM,v522_merged,731,30,0.0004640494,5.45452075e-05,0.000986464025
distilbert,SVARM,v522_merged,1591,30,0.00016024975,2.3797675000000003e-05,0.000325311175
distilbert,PermSamp,v522_merged,15,30,0.07266724999999999,0.008953020249999999,0.152801175
distilbert,PermSamp,v522_merged,33,30,0.040869825,0.00466701175,0.07903645499999999
distilbert,PermSamp,v522_merged,71,30,0.01399549,0.00639646625,0.032620945
distilbert,PermSamp,v522_merged,154,30,0.009082436499999999,0.0048288705,0.0178719475
distilbert,PermSamp,v522_merged,336,30,0.0025881055,0.00112408075,0.00600991725
distilbert,PermSamp,v522_merged,731,30,0.001204141,0.0006990963500000001,0.00194539175
distilbert,PermSamp,v522_merged,1591,30,0.00085857145,0.00030356264999999996,0.001201845
distilbert,KernelSHAP,v522_merged,15,30,0.29938735,0.1426713,0.6327398750000001
distilbert,KernelSHAP,v522_merged,33,30,0.04470595,0.016378327499999998,0.126480275
distilbert,KernelSHAP,v522_merged,71,30,0.01135222,0.0044690814999999995,0.0219494725
distilbert,KernelSHAP,v522_merged,154,30,0.003321462,0.00123157,0.00836121175
distilbert,KernelSHAP,v522_merged,336,30,0.00134775,0.00050344715,0.0028549655
distilbert,KernelSHAP,v522_merged,731,30,0.00044871215000000003,0.000177437775,0.0011912675
distilbert,KernelSHAP,v522_merged,1591,30,0.00011295074999999999,6.14218375e-05,0.000435724275
distilbert,kADDSHAP,v522_merged,15,30,0.029841,0.011624612749999999,0.0482628125
distilbert,kADDSHAP,v522_merged,33,30,3.4396255e+16,1.2235635e+16,9.959276e+16
distilbert,kADDSHAP,v522_merged,71,30,0.02209324,0.01316069,0.0280458325
distilbert,kADDSHAP,v522_merged,154,30,0.004530442500000001,0.0030687047500000003,0.00843649125
distilbert,kADDSHAP,v522_merged,336,30,0.0009029158000000001,0.000555193475,0.0012897305
distilbert,kADDSHAP,v522_merged,731,30,0.00020911695,0.000115241175,0.00036924287499999996
distilbert,kADDSHAP,v522_merged,1591,30,4.9973275e-05,3.48939e-05,9.29820475e-05
distilbert,RegressionMSR,v522_merged,15,30,0.02190201,0.010154670000000001,0.050311449999999994
distilbert,RegressionMSR,v522_merged,33,30,0.007599774,0.0035888367500000002,0.01524209
distilbert,RegressionMSR,v522_merged,71,30,0.0047169275,0.0028640915,0.007972076
distilbert,RegressionMSR,v522_merged,154,30,0.0013096495000000001,0.0007815494,0.00178261325
distilbert,RegressionMSR,v522_merged,336,30,0.00040287565,0.00026813152500000003,0.000761647275
distilbert,RegressionMSR,v522_merged,731,30,0.0001513008,7.977836250000001e-05,0.0002937887
distilbert,RegressionMSR,v522_merged,1591,30,2.3077029999999998e-05,1.0573375000000001e-05,4.36746375e-05
distilbert,OddSHAP,v522_merged,154,30,0.0024607945000000003,0.0012428550000000002,0.0040375485
distilbert,OddSHAP,v522_merged,336,30,0.0007297762,0.000265888675,0.0014292469999999998
distilbert,OddSHAP,v522_merged,731,30,0.0001847965,6.89634925e-05,0.00027863355
distilbert,OddSHAP,v522_merged,1591,30,3.4799780000000004e-05,2.40062625e-05,7.809298e-05
