vf,estimator,variant,budget,n,median,q1,q3
nhanes,MSR,v560_improved,80,30,0.1756270424885788,0.07814945904408015,0.24921377127262995
nhanes,SVARM,v560_improved,80,30,0.05832468677905939,0.0330958906833284,0.08408635854342301
nhanes,PermSamp,v560_improved,80,30,0.005339134222315521,0.0033922018924656067,0.009210046719330532
nhanes,KernelSHAP,v560_improved,80,30,0.2702369859891351,0.14319664274193897,0.976101378605982
nhanes,kADDSHAP,v560_improved,80,30,0.025036822957649918,0.01807270159783019,0.03360830527109552
nhanes,RegressionMSR,v560_improved,80,30,0.0076482325333522925,0.005667160465744563,0.009974980011618303
nhanes,OddSHAP,v560_improved,80,30,0.00556776671883903,0.004353516808382981,0.008626913940324676
nhanes,MSR,v560_improved,148,30,0.09207906299241156,0.04359539212540381,0.14395518980879735
nhanes,SVARM,v560_improved,148,30,0.076903498184688,0.03177818377470214,0.13056571250312404
nhanes,PermSamp,v560_improved,148,30,0.005339134222315521,0.0033922018924656067,0.009210046719330532
nhanes,KernelSHAP,v560_improved,148,30,0.01095605298147979,0.00562123870807033,0.022339248774597583
nhanes,kADDSHAP,v560_improved,148,30,13.685287967388696,2.6997204404554846,82.03263661332952
nhanes,RegressionMSR,v560_improved,148,30,0.00439202152918761,0.0034187606006229276,0.006054326008120295
nhanes,OddSHAP,v560_improved,148,30,0.0012066498460279779,0.0009169163137145573,0.0017015003235095918
nhanes,MSR,v560_improved,273,30,0.04921861320616373,0.02146676081669292,0.07200258051540438
nhanes,SVARM,v560_improved,273,30,0.08071413024507158,0.02603991841552856,0.12754698667073186
nhanes,PermSamp,v560_improved,273,30,0.0020947863920413056,0.0010808902556285877,0.005455943915662697
nhanes,KernelSHAP,v560_improved,273,30,0.0035450471898770377,0.0018807851479985573,0.008717830437035454
nhanes,kADDSHAP,v560_improved,273,30,0.0004714602656746917,0.0002594190551279046,0.0010234586848476845
nhanes,RegressionMSR,v560_improved,273,30,0.0023811490875008503,0.0018702679928634834,0.003426657856615943
nhanes,OddSHAP,v560_improved,273,30,0.0002889042757297446,0.000180900174955266,0.0005655585501114748
nhanes,MSR,v560_improved,504,30,0.028384281212602468,0.013258260859367096,0.04237436994507401
nhanes,SVARM,v560_improved,504,30,0.04556921944709903,0.01492079048050616,0.07781285133373285
nhanes,PermSamp,v560_improved,504,30,0.0009372249809194464,0.00046689574014094066,0.0020046685065700457
nhanes,KernelSHAP,v560_improved,504,30,0.0018194787038954652,0.0010390621540161717,0.004535873720565215
nhanes,kADDSHAP,v560_improved,504,30,0.00047179773987152877,0.0002593255414372214,0.0010232219527025197
nhanes,RegressionMSR,v560_improved,504,30,0.0016131290960316425,0.0010266432995174341,0.001987589070523808
nhanes,OddSHAP,v560_improved,504,30,0.00013394841168860034,8.094185974591167e-05,0.00026615250055739693
nhanes,MSR,v560_improved,931,30,0.01233710901219428,0.007161318301454585,0.016999033407177497
nhanes,SVARM,v560_improved,931,30,0.01402654469094311,0.007222909328695657,0.021910898894462967
nhanes,PermSamp,v560_improved,931,30,0.0003314154692672204,0.00020909563853034672,0.0007730007906211556
nhanes,KernelSHAP,v560_improved,931,30,0.0006638433461656306,0.0004072601618099282,0.0018323136467664931
nhanes,kADDSHAP,v560_improved,931,30,0.00047191915119417367,0.0002620208134361231,0.0010438825794658294
nhanes,RegressionMSR,v560_improved,931,30,0.000888044349538875,0.0006268766568778942,0.0012431885458001148
nhanes,OddSHAP,v560_improved,931,30,7.168380816698358e-05,4.2653894775918174e-05,0.0001377421765164213
