vf,estimator,variant,budget,n,median,q1,q3
realestate,MSR,v522_merged,16,30,9.03470205197566,4.64682593463984,18.637516328208175
realestate,SVARM,v522_merged,16,30,1.030438144134072,0.7542840639365171,1.866784242576615
realestate,PermSamp,v522_merged,16,30,0.12219094256823723,0.08934757739079624,0.1801239564404551
realestate,KernelSHAP,v522_merged,16,30,2.037784817205299,0.7966482430312866,5.126652409906696
realestate,kADDSHAP,v522_merged,16,30,0.7439629873302704,0.59246073054654,0.9718243670120579
realestate,RegressionMSR,v522_merged,16,30,0.13953244408020876,0.06082921012207951,0.24393869751471012
realestate,MSR,v522_merged,35,30,1.9652975988847396,0.8425154677686437,3.681073578158458
realestate,SVARM,v522_merged,35,30,0.599387945089526,0.42236000461521905,1.1489870227718593
realestate,PermSamp,v522_merged,35,30,0.05418927056761263,0.02263858997242861,0.07355131543874455
realestate,KernelSHAP,v522_merged,35,30,0.09492783572859592,0.04850954171902902,0.1461791648966155
realestate,kADDSHAP,v522_merged,35,30,0.444913708814781,0.049527193126083266,3.744049548069107
realestate,RegressionMSR,v522_merged,35,30,0.03847313502338097,0.021046926682549465,0.06247136453762435
realestate,MSR,v522_merged,78,30,1.161271948632923,0.5984342469089665,2.2549217242563437
realestate,SVARM,v522_merged,78,30,0.40121897717847926,0.2466881879523224,0.556512645880416
realestate,PermSamp,v522_merged,78,30,0.06165929937240891,0.030580749637638825,0.09316365836801116
realestate,KernelSHAP,v522_merged,78,30,0.0387194041738422,0.014481956014722389,0.07038668857557512
realestate,kADDSHAP,v522_merged,78,30,0.002468320779703391,0.0008453042572333691,0.0031639140616317512
realestate,RegressionMSR,v522_merged,78,30,0.0037775679316976053,0.0024167667983734007,0.007935418693263419
realestate,MSR,v522_merged,172,30,0.3358170160312508,0.13829715263814185,0.44623217465269527
realestate,SVARM,v522_merged,172,30,0.14883471082619665,0.075774789297234,0.17262769837245162
realestate,PermSamp,v522_merged,172,30,0.0033867136154225787,0.0022173275163890373,0.005805256313543479
realestate,KernelSHAP,v522_merged,172,30,0.01141643929803329,0.005411158932672455,0.018818300808801754
realestate,kADDSHAP,v522_merged,172,30,0.000725419987443192,0.0003097015479670228,0.000997076472003878
realestate,RegressionMSR,v522_merged,172,30,0.0006715125439384847,0.0003967113925816628,0.001992089926660221
realestate,OddSHAP,v522_merged,172,30,0.0003005585044309066,0.00016240522159389822,0.0005452695059307307
realestate,MSR,v522_merged,381,30,0.11928330431090708,0.04867514179831781,0.17366871111470616
realestate,SVARM,v522_merged,381,30,0.03311596446272668,0.019751591481010217,0.03915143642675635
realestate,PermSamp,v522_merged,381,30,0.0018577066369088427,0.0011180682608498717,0.0036189588354083343
realestate,KernelSHAP,v522_merged,381,30,0.002652978183700855,0.0013833990084395286,0.004245843790287909
realestate,kADDSHAP,v522_merged,381,30,7.906178527752037e-05,4.1944122882885816e-05,0.00012036995983257227
realestate,RegressionMSR,v522_merged,381,30,5.570014649721469e-05,4.6829267995876286e-05,0.0001364390741373362
realestate,OddSHAP,v522_merged,381,30,1.2884967087075091e-05,6.27624501172402e-06,2.5749925293226476e-05
realestate,MSR,v522_merged,841,30,0.034199947261446685,0.014207480178803694,0.05666032617864218
realestate,SVARM,v522_merged,841,30,0.009573855067528864,0.007773032525968599,0.014152751686414694
realestate,PermSamp,v522_merged,841,30,0.0006536464846701223,0.0004166650955118444,0.0009422420951798603
realestate,KernelSHAP,v522_merged,841,30,0.0014266794032426929,0.0008724122163378207,0.0023025731944457725
realestate,kADDSHAP,v522_merged,841,30,4.7304015217966894e-05,1.8195946849550162e-05,7.280126119194678e-05
realestate,RegressionMSR,v522_merged,841,30,4.388300603990133e-06,2.7220634304700638e-06,6.1434316482041205e-06
realestate,OddSHAP,v522_merged,841,30,5.445274695911727e-06,2.1295774097905126e-06,8.071211910788909e-06
realestate,MSR,v522_merged,1857,30,0.007082479964629833,0.004953814126424888,0.01404470758614399
realestate,SVARM,v522_merged,1857,30,0.004383918784078447,0.0031051958522892026,0.0056882998579336486
realestate,PermSamp,v522_merged,1857,30,0.00101812313374861,0.0006202276957160649,0.001640310044783234
realestate,KernelSHAP,v522_merged,1857,30,0.000597730179758756,0.000342766548694236,0.0009055756848461341
realestate,kADDSHAP,v522_merged,1857,30,1.3616838446147346e-05,4.625916147881975e-06,2.3657609724355817e-05
realestate,RegressionMSR,v522_merged,1857,30,1.4460917751690218e-07,9.948964428162022e-08,2.1235656202103765e-07
realestate,OddSHAP,v522_merged,1857,30,2.8904449491638954e-07,8.0665017634952e-08,5.34667855764423e-07
realestate,MSR,v522_merged,4100,30,0.002514375816021053,0.0017139195340828831,0.005166684986250118
realestate,SVARM,v522_merged,4100,30,0.0011662524156307163,0.0008538195932651944,0.0015386079654942221
realestate,PermSamp,v522_merged,4100,30,0.0008908174871205725,0.0006158410962471474,0.001329260092572495
realestate,KernelSHAP,v522_merged,4100,30,8.48802843861007e-05,4.913345659173974e-05,0.00015519377349210357
realestate,kADDSHAP,v522_merged,4100,30,3.913105580014605e-06,1.901806966243046e-06,5.433910430593874e-06
realestate,RegressionMSR,v522_merged,4100,30,1.2518453901054937e-08,5.786863689037634e-09,2.256996104227192e-08
realestate,OddSHAP,v522_merged,4100,30,9.658238333412956e-14,2.923815036957331e-14,7.161116518815934e-11
realestate,MSR,v522_merged,9056,30,0.0013240737290882859,0.0006577708848067359,0.0027216858505255508
realestate,SVARM,v522_merged,9056,30,0.00045136210310884977,0.0002471015562217728,0.0005123585429203188
realestate,PermSamp,v522_merged,9056,30,0.0002747435096257118,0.00013716060216686238,0.0003317690348467846
realestate,KernelSHAP,v522_merged,9056,30,3.397276684162483e-05,1.6183285370077646e-05,7.397427281743042e-05
realestate,kADDSHAP,v522_merged,9056,30,1.204825397790826e-06,5.698348373522252e-07,1.8324606378263442e-06
realestate,RegressionMSR,v522_merged,9056,30,1.1891904724008309e-09,7.866363901818456e-10,1.9211435764507285e-09
realestate,OddSHAP,v522_merged,9056,30,2.4191511106512146e-14,9.242612786466362e-15,3.7047540064380054e-14
realestate,MSR,v522_merged,20000,30,0.00045244668021372325,0.0002477513400907644,0.0007036798443067923
realestate,SVARM,v522_merged,20000,30,0.00018508773753916745,0.00011567962150139298,0.00021795115371816182
realestate,PermSamp,v522_merged,20000,30,0.0001209699152485144,7.682710824981303e-05,0.00016432662284559315
realestate,KernelSHAP,v522_merged,20000,30,1.4058102711199622e-05,6.941366846632797e-06,2.831062786466665e-05
realestate,kADDSHAP,v522_merged,20000,30,2.6575453395320544e-07,1.1252545507624745e-07,4.157765035342618e-07
realestate,RegressionMSR,v522_merged,20000,30,8.481527228720026e-11,5.7598854275365755e-11,1.5335689874815352e-10
realestate,OddSHAP,v522_merged,20000,30,2.4218558952464464e-14,9.343302338632063e-15,3.7012152632313524e-14
