vf,estimator,variant,budget,n,median,q1,q3
vit16,MSR,v522_merged,17,30,0.1348308,0.05712589,0.18823552500000001
vit16,MSR,v522_merged,37,30,0.055770925,0.015352745000000001,0.0772355275
vit16,MSR,v522_merged,82,30,0.0181068,0.007491612250000001,0.028689957500000002
vit16,MSR,v522_merged,179,30,0.0069731789999999995,0.00299496425,0.012580480000000002
vit16,MSR,v522_merged,394,30,0.0062000384999999995,0.00212711375,0.009329691499999999
vit16,MSR,v522_merged,864,30,0.002185771,0.000849038625,0.003722117
vit16,MSR,v522_merged,1895,30,0.00048286965000000003,0.000187352675,0.000625806025
vit16,SVARM,v522_merged,17,30,0.02263789,0.009905457,0.0298320475
vit16,SVARM,v522_merged,37,30,0.026829415000000002,0.009836962500000001,0.0335071375
vit16,SVARM,v522_merged,82,30,0.0070792395,0.004164004000000001,0.0102191065
vit16,SVARM,v522_merged,179,30,0.0015087454999999999,0.00115006675,0.002139157
vit16,SVARM,v522_merged,394,30,0.00059002585,0.000259217625,0.0007615649
vit16,SVARM,v522_merged,864,30,0.0001587042,9.6963045e-05,0.00029616765
vit16,SVARM,v522_merged,1895,30,6.041075e-05,3.5692347500000004e-05,0.00010513322500000001
vit16,PermSamp,v522_merged,17,30,0.02012726,0.012815957499999999,0.0270746475
vit16,PermSamp,v522_merged,37,30,0.01135188,0.005239190249999999,0.0151651475
vit16,PermSamp,v522_merged,82,30,0.00296123,0.0021742345,0.00467003325
vit16,PermSamp,v522_merged,179,30,0.0012811749999999998,0.000836432575,0.00247174675
vit16,PermSamp,v522_merged,394,30,0.0006286415500000001,0.000257876375,0.001015511175
vit16,PermSamp,v522_merged,864,30,0.0002606045,0.00015312522500000002,0.0004400964
vit16,PermSamp,v522_merged,1895,30,0.00015067070000000001,7.428023e-05,0.000175357275
vit16,KernelSHAP,v522_merged,17,30,0.049255115,0.0176820775,0.104429485
vit16,KernelSHAP,v522_merged,37,30,0.008900218000000001,0.006095774,0.015244757500000001
vit16,KernelSHAP,v522_merged,82,30,0.00357241,0.0021116604999999997,0.00638037475
vit16,KernelSHAP,v522_merged,179,30,0.0009726367500000001,0.000645237875,0.00238671575
vit16,KernelSHAP,v522_merged,394,30,0.00059385095,0.000379887225,0.001160738
vit16,KernelSHAP,v522_merged,864,30,0.0002991126,0.000156652025,0.000665067425
vit16,KernelSHAP,v522_merged,1895,30,7.4979675e-05,4.5932065000000005e-05,0.000109327275
vit16,kADDSHAP,v522_merged,17,30,0.0050636495,0.00289429325,0.00672307425
vit16,kADDSHAP,v522_merged,37,30,0.3848491,0.09320015000000001,0.7118420750000001
vit16,kADDSHAP,v522_merged,82,30,0.0025448955,0.0013155480000000002,0.003719964
vit16,kADDSHAP,v522_merged,179,30,0.0016327905,0.00102525865,0.0027218389999999998
vit16,kADDSHAP,v522_merged,394,30,0.0003442084,0.00017715677499999998,0.0004775952
vit16,kADDSHAP,v522_merged,864,30,0.0001134788,5.2223555e-05,0.0001652897
vit16,kADDSHAP,v522_merged,1895,30,3.3512485e-05,1.4558734999999999e-05,4.700653e-05
vit16,RegressionMSR,v522_merged,17,30,0.009041285,0.00560515875,0.019236225
vit16,RegressionMSR,v522_merged,37,30,0.006636079,0.004009624749999999,0.012702905
vit16,RegressionMSR,v522_merged,82,30,0.0013499660000000002,0.0005374153000000001,0.00200012925
vit16,RegressionMSR,v522_merged,179,30,0.00034092615,0.00019517005,0.000522783325
vit16,RegressionMSR,v522_merged,394,30,0.00012369155,5.889815e-05,0.00020329379999999998
vit16,RegressionMSR,v522_merged,864,30,4.4451785e-05,2.45076575e-05,6.954787000000001e-05
vit16,RegressionMSR,v522_merged,1895,30,1.0426149999999998e-05,4.6014275e-06,1.6509607500000003e-05
vit16,OddSHAP,v522_merged,179,30,0.0006523085,0.00032867694999999997,0.0009853460750000001
vit16,OddSHAP,v522_merged,394,30,0.0001499156,9.28847475e-05,0.000216756875
vit16,OddSHAP,v522_merged,864,30,4.0093885e-05,1.97667275e-05,6.77452825e-05
vit16,OddSHAP,v522_merged,1895,30,9.170985e-06,4.52089275e-06,1.5280367499999998e-05
