vf,estimator,variant,budget,n,median_runtime_s
cancer,MSR,v522_merged,31,5,0.01438611900084652
cancer,SVARM,v522_merged,31,5,0.06648522801697254
cancer,PermSamp,v522_merged,31,5,0.010420352016808465
cancer,KernelSHAP,v522_merged,31,5,0.013092328008497134
cancer,kADDSHAP,v522_merged,31,5,0.13070922897895798
cancer,RegressionMSR,v522_merged,31,5,0.05397145901224576
cancer,MSR,v522_merged,64,5,0.027243472984991968
cancer,SVARM,v522_merged,64,5,0.10295863298233598
cancer,PermSamp,v522_merged,64,5,0.019941588980145752
cancer,KernelSHAP,v522_merged,64,5,0.025740238022990525
cancer,kADDSHAP,v522_merged,64,5,0.14746391301741824
cancer,RegressionMSR,v522_merged,64,5,0.07595177899929695
cancer,MSR,v522_merged,131,5,0.05295235299854539
cancer,SVARM,v522_merged,131,5,0.14802481399965473
cancer,PermSamp,v522_merged,131,5,0.03854389500338584
cancer,KernelSHAP,v522_merged,131,5,0.051258313993457705
cancer,kADDSHAP,v522_merged,131,5,0.1585932430170942
cancer,RegressionMSR,v522_merged,131,5,0.10287575999973342
cancer,MSR,v522_merged,268,5,0.1030121769872494
cancer,SVARM,v522_merged,268,5,0.22257043200079352
cancer,PermSamp,v522_merged,268,5,0.08828245400218293
cancer,KernelSHAP,v522_merged,268,5,0.10161039599915966
cancer,kADDSHAP,v522_merged,268,5,0.2034451520012226
cancer,RegressionMSR,v522_merged,268,5,0.1547785250004381
cancer,MSR,v522_merged,550,5,0.20575441399705596
cancer,SVARM,v522_merged,550,5,0.358072827977594
cancer,PermSamp,v522_merged,550,5,0.17156636700383388
cancer,KernelSHAP,v522_merged,550,5,0.2032149659935385
cancer,kADDSHAP,v522_merged,550,5,0.31170197401661426
cancer,RegressionMSR,v522_merged,550,5,0.27741109899943694
cancer,OddSHAP,v522_merged,550,5,0.3240442820242606
cancer,MSR,v522_merged,1128,5,0.4243865309981629
cancer,SVARM,v522_merged,1128,5,0.6515168749901932
cancer,PermSamp,v522_merged,1128,5,0.37528190400917083
cancer,KernelSHAP,v522_merged,1128,5,0.47492995200445876
cancer,kADDSHAP,v522_merged,1128,5,0.5080810379877221
cancer,RegressionMSR,v522_merged,1128,5,0.4939501569897402
cancer,OddSHAP,v522_merged,1128,5,0.5772051659878343
cancer,MSR,v522_merged,2315,5,0.8856496349908412
cancer,SVARM,v522_merged,2315,5,1.2422901440004352
cancer,PermSamp,v522_merged,2315,5,0.7774446000112221
cancer,KernelSHAP,v522_merged,2315,5,0.8922678310191259
cancer,kADDSHAP,v522_merged,2315,5,0.9135385800036602
cancer,RegressionMSR,v522_merged,2315,5,0.9705605499912053
cancer,OddSHAP,v522_merged,2315,5,1.0153022150043398
cancer,MSR,v522_merged,4750,5,1.7731081469974015
cancer,SVARM,v522_merged,4750,5,2.389882146002492
cancer,PermSamp,v522_merged,4750,5,1.5688124540029094
cancer,KernelSHAP,v522_merged,4750,5,1.8107840779994149
cancer,kADDSHAP,v522_merged,4750,5,1.8375564199814107
cancer,RegressionMSR,v522_merged,4750,5,1.9096773919882253
cancer,OddSHAP,v522_merged,4750,5,1.993609892000677
cancer,MSR,v522_merged,9746,5,3.5815384369925596
cancer,SVARM,v522_merged,9746,5,4.72184844900039
cancer,PermSamp,v522_merged,9746,5,3.1947339859907515
cancer,KernelSHAP,v522_merged,9746,5,3.5698868930048775
cancer,kADDSHAP,v522_merged,9746,5,3.6796958229970187
cancer,RegressionMSR,v522_merged,9746,5,3.774819465004839
cancer,OddSHAP,v522_merged,9746,5,4.538330446986947
cancer,MSR,v522_merged,20000,5,7.5642403030069545
cancer,SVARM,v522_merged,20000,5,9.80255256302189
cancer,PermSamp,v522_merged,20000,5,6.662424367008498
cancer,KernelSHAP,v522_merged,20000,5,7.5515189839934465
cancer,kADDSHAP,v522_merged,20000,5,7.726332331018057
cancer,RegressionMSR,v522_merged,20000,5,7.798203917016508
cancer,OddSHAP,v522_merged,20000,5,12.247701996006072
