vf,estimator,variant,budget,n,median_runtime_s
cancer,MSR,v560_improved,31,5,0.014881035021971911
cancer,SVARM,v560_improved,31,5,0.06851626199204475
cancer,PermSamp,v560_improved,31,5,0.010642656998243183
cancer,KernelSHAP,v560_improved,31,5,0.013389581989031285
cancer,kADDSHAP,v560_improved,31,5,0.18573395899147727
cancer,RegressionMSR,v560_improved,31,5,0.05801014500320889
cancer,OddSHAP,v560_improved,31,5,0.014149550988804549
cancer,MSR,v560_improved,64,5,0.027766462008003145
cancer,SVARM,v560_improved,64,5,0.10562796198064461
cancer,PermSamp,v560_improved,64,5,0.020237965014530346
cancer,KernelSHAP,v560_improved,64,5,0.026098509988514706
cancer,kADDSHAP,v560_improved,64,5,0.13766325800679624
cancer,RegressionMSR,v560_improved,64,5,0.07506292400648817
cancer,OddSHAP,v560_improved,64,5,0.033658387983450666
cancer,MSR,v560_improved,131,5,0.053460202005226165
cancer,SVARM,v560_improved,131,5,0.14996301700011827
cancer,PermSamp,v560_improved,131,5,0.039254054019693285
cancer,KernelSHAP,v560_improved,131,5,0.05176634300732985
cancer,kADDSHAP,v560_improved,131,5,0.1676533909922
cancer,RegressionMSR,v560_improved,131,5,0.10523197200382128
cancer,OddSHAP,v560_improved,131,5,0.06080515601206571
cancer,MSR,v560_improved,268,5,0.10297451398218982
cancer,SVARM,v560_improved,268,5,0.22149714798433706
cancer,PermSamp,v560_improved,268,5,0.08832473499933258
cancer,KernelSHAP,v560_improved,268,5,0.10105867698439397
cancer,kADDSHAP,v560_improved,268,5,0.2554274759895634
cancer,RegressionMSR,v560_improved,268,5,0.15780283900676295
cancer,OddSHAP,v560_improved,268,5,0.11618516998714767
cancer,MSR,v560_improved,550,5,0.20514245401136577
cancer,SVARM,v560_improved,550,5,0.3576887419912964
cancer,PermSamp,v560_improved,550,5,0.1734822959988378
cancer,KernelSHAP,v560_improved,550,5,0.203135205025319
cancer,kADDSHAP,v560_improved,550,5,0.3457570360042155
cancer,RegressionMSR,v560_improved,550,5,0.27801867201924324
cancer,OddSHAP,v560_improved,550,5,0.3134849090129137
cancer,MSR,v560_improved,1128,5,0.42385312300757505
cancer,SVARM,v560_improved,1128,5,0.644487413985189
cancer,PermSamp,v560_improved,1128,5,0.37213663299917243
cancer,KernelSHAP,v560_improved,1128,5,0.4614870729856193
cancer,kADDSHAP,v560_improved,1128,5,0.5277896559855435
cancer,RegressionMSR,v560_improved,1128,5,0.5555384570034221
cancer,OddSHAP,v560_improved,1128,5,0.6001597330032382
cancer,MSR,v560_improved,2315,5,0.8719832940259948
cancer,SVARM,v560_improved,2315,5,1.225565186003223
cancer,PermSamp,v560_improved,2315,5,0.7581181949935853
cancer,KernelSHAP,v560_improved,2315,5,0.8794668820046354
cancer,kADDSHAP,v560_improved,2315,5,0.9049189889919944
cancer,RegressionMSR,v560_improved,2315,5,0.9675910710066091
cancer,OddSHAP,v560_improved,2315,5,0.9958000610058662
cancer,MSR,v560_improved,4750,5,1.7625725300167687
cancer,SVARM,v560_improved,4750,5,2.391455949022202
cancer,PermSamp,v560_improved,4750,5,1.5619293720228598
cancer,KernelSHAP,v560_improved,4750,5,1.7595040760061238
cancer,kADDSHAP,v560_improved,4750,5,1.842732717981562
cancer,RegressionMSR,v560_improved,4750,5,1.8913631959876511
cancer,OddSHAP,v560_improved,4750,5,1.926322513987543
cancer,MSR,v560_improved,9746,5,3.5678663740109187
cancer,SVARM,v560_improved,9746,5,4.720020882989047
cancer,PermSamp,v560_improved,9746,5,3.214278478990309
cancer,KernelSHAP,v560_improved,9746,5,3.5608193050138652
cancer,kADDSHAP,v560_improved,9746,5,3.661754283006303
cancer,RegressionMSR,v560_improved,9746,5,3.7252400500001386
cancer,OddSHAP,v560_improved,9746,5,4.106297911988804
cancer,MSR,v560_improved,20000,5,7.442054220999125
cancer,SVARM,v560_improved,20000,5,9.594438086991431
cancer,PermSamp,v560_improved,20000,5,6.513970887986943
cancer,KernelSHAP,v560_improved,20000,5,7.333280997001566
cancer,kADDSHAP,v560_improved,20000,5,7.544430433015805
cancer,RegressionMSR,v560_improved,20000,5,7.657244984002318
cancer,OddSHAP,v560_improved,20000,5,9.949329127994133
