vf,estimator,variant,budget,n,median_runtime_s
corrgroups60,MSR,v522_merged,61,5,0.036826619994826615
corrgroups60,SVARM,v522_merged,61,5,0.21197783801471815
corrgroups60,PermSamp,v522_merged,61,5,0.026160363981034607
corrgroups60,KernelSHAP,v522_merged,61,5,0.03003784699831158
corrgroups60,kADDSHAP,v522_merged,61,5,0.17319226398831233
corrgroups60,RegressionMSR,v522_merged,61,5,0.07649972502258606
corrgroups60,MSR,v522_merged,116,5,0.05753258601180278
corrgroups60,SVARM,v522_merged,116,5,0.3409450920007657
corrgroups60,PermSamp,v522_merged,116,5,0.023873261001426727
corrgroups60,KernelSHAP,v522_merged,116,5,0.05377836897969246
corrgroups60,kADDSHAP,v522_merged,116,5,0.19230316698667593
corrgroups60,RegressionMSR,v522_merged,116,5,0.11250650801230222
corrgroups60,MSR,v522_merged,221,5,0.1013324020022992
corrgroups60,SVARM,v522_merged,221,5,0.5152977079851553
corrgroups60,PermSamp,v522_merged,221,5,0.06831464997958392
corrgroups60,KernelSHAP,v522_merged,221,5,0.18046070498530753
corrgroups60,kADDSHAP,v522_merged,221,5,0.24389391101431102
corrgroups60,RegressionMSR,v522_merged,221,5,0.1607509680034127
corrgroups60,MSR,v522_merged,421,5,0.19215913201333024
corrgroups60,SVARM,v522_merged,421,5,0.7608623770065606
corrgroups60,PermSamp,v522_merged,421,5,0.16052084500552155
corrgroups60,KernelSHAP,v522_merged,421,5,0.28602644699276425
corrgroups60,kADDSHAP,v522_merged,421,5,0.37440408201655373
corrgroups60,RegressionMSR,v522_merged,421,5,0.2612057329970412
corrgroups60,MSR,v522_merged,801,5,0.3523279720102437
corrgroups60,SVARM,v522_merged,801,5,1.1756729019980412
corrgroups60,PermSamp,v522_merged,801,5,0.2973331570101436
corrgroups60,KernelSHAP,v522_merged,801,5,0.40628235798794776
corrgroups60,kADDSHAP,v522_merged,801,5,0.5083494450082071
corrgroups60,RegressionMSR,v522_merged,801,5,0.42644812702201307
corrgroups60,OddSHAP,v522_merged,801,5,0.5170975860091858
corrgroups60,MSR,v522_merged,1524,5,0.6568541059968993
corrgroups60,SVARM,v522_merged,1524,5,1.8801221110043116
corrgroups60,PermSamp,v522_merged,1524,5,0.5607851989916526
corrgroups60,KernelSHAP,v522_merged,1524,5,0.7121733199746814
corrgroups60,kADDSHAP,v522_merged,1524,5,0.8664568590174895
corrgroups60,RegressionMSR,v522_merged,1524,5,0.7538077520148363
corrgroups60,OddSHAP,v522_merged,1524,5,0.8351596500142477
corrgroups60,MSR,v522_merged,2900,5,1.2569964249851182
corrgroups60,SVARM,v522_merged,2900,5,3.3145474460034166
corrgroups60,PermSamp,v522_merged,2900,5,1.1101778009906411
corrgroups60,KernelSHAP,v522_merged,2900,5,1.3192470590001903
corrgroups60,kADDSHAP,v522_merged,2900,5,1.557320747000631
corrgroups60,RegressionMSR,v522_merged,2900,5,1.3857551830005832
corrgroups60,OddSHAP,v522_merged,2900,5,1.443339132994879
corrgroups60,MSR,v522_merged,5521,5,2.3868868830031715
corrgroups60,SVARM,v522_merged,5521,5,6.002438908995828
corrgroups60,PermSamp,v522_merged,5521,5,2.1400020100118127
corrgroups60,KernelSHAP,v522_merged,5521,5,2.39607614299166
corrgroups60,kADDSHAP,v522_merged,5521,5,2.9440570450096857
corrgroups60,RegressionMSR,v522_merged,5521,5,2.5363087430014275
corrgroups60,OddSHAP,v522_merged,5521,5,2.6998626069980673
corrgroups60,MSR,v522_merged,10508,5,4.522558441007277
corrgroups60,SVARM,v522_merged,10508,5,11.062714239989873
corrgroups60,PermSamp,v522_merged,10508,5,4.026476397004444
corrgroups60,KernelSHAP,v522_merged,10508,5,4.509757755993633
corrgroups60,kADDSHAP,v522_merged,10508,5,5.416278574994067
corrgroups60,RegressionMSR,v522_merged,10508,5,4.778074705012841
corrgroups60,OddSHAP,v522_merged,10508,5,5.5919777629897
corrgroups60,MSR,v522_merged,20000,5,8.626506194996182
corrgroups60,SVARM,v522_merged,20000,5,20.446424469992053
corrgroups60,PermSamp,v522_merged,20000,5,7.724452051013941
corrgroups60,KernelSHAP,v522_merged,20000,5,8.680055495991837
corrgroups60,kADDSHAP,v522_merged,20000,5,10.427686747018015
corrgroups60,RegressionMSR,v522_merged,20000,5,9.130149292002898
corrgroups60,OddSHAP,v522_merged,20000,5,13.990511923009763
