vf,estimator,variant,budget,n,median_runtime_s
corrgroups60,MSR,v560_improved,61,5,0.03172469901619479
corrgroups60,SVARM,v560_improved,61,5,0.2038193920161575
corrgroups60,PermSamp,v560_improved,61,5,0.02336585900047794
corrgroups60,KernelSHAP,v560_improved,61,5,0.028949940024176612
corrgroups60,kADDSHAP,v560_improved,61,5,0.19781290501123294
corrgroups60,RegressionMSR,v560_improved,61,5,0.11374271599925123
corrgroups60,OddSHAP,v560_improved,61,5,0.036912729003233835
corrgroups60,MSR,v560_improved,116,5,0.0565254169923719
corrgroups60,SVARM,v560_improved,116,5,0.345043295994401
corrgroups60,PermSamp,v560_improved,116,5,0.023655703000258654
corrgroups60,KernelSHAP,v560_improved,116,5,0.05352225500973873
corrgroups60,kADDSHAP,v560_improved,116,5,0.19782712901360355
corrgroups60,RegressionMSR,v560_improved,116,5,0.10892262699780986
corrgroups60,OddSHAP,v560_improved,116,5,0.06101354700513184
corrgroups60,MSR,v560_improved,221,5,0.10114806302590296
corrgroups60,SVARM,v560_improved,221,5,0.5245103539782576
corrgroups60,PermSamp,v560_improved,221,5,0.0679277770104818
corrgroups60,KernelSHAP,v560_improved,221,5,0.1846330830012448
corrgroups60,kADDSHAP,v560_improved,221,5,0.2603403969842475
corrgroups60,RegressionMSR,v560_improved,221,5,0.15964901298866607
corrgroups60,OddSHAP,v560_improved,221,5,0.1107216119999066
corrgroups60,MSR,v560_improved,421,5,0.1885854979918804
corrgroups60,SVARM,v560_improved,421,5,0.7729151399980765
corrgroups60,PermSamp,v560_improved,421,5,0.1586376850027591
corrgroups60,KernelSHAP,v560_improved,421,5,0.2700739949941635
corrgroups60,kADDSHAP,v560_improved,421,5,0.3571645490010269
corrgroups60,RegressionMSR,v560_improved,421,5,0.25284759799251333
corrgroups60,OddSHAP,v560_improved,421,5,0.28247044602176175
corrgroups60,MSR,v560_improved,801,5,0.3438816540001426
corrgroups60,SVARM,v560_improved,801,5,1.232028029015055
corrgroups60,PermSamp,v560_improved,801,5,0.29255164199275896
corrgroups60,KernelSHAP,v560_improved,801,5,0.4423714869772084
corrgroups60,kADDSHAP,v560_improved,801,5,0.5099329579970799
corrgroups60,RegressionMSR,v560_improved,801,5,0.4219693150080275
corrgroups60,OddSHAP,v560_improved,801,5,0.5328575280145742
corrgroups60,MSR,v560_improved,1524,5,0.6616711579845287
corrgroups60,SVARM,v560_improved,1524,5,1.9415763590077404
corrgroups60,PermSamp,v560_improved,1524,5,0.5626846439845394
corrgroups60,KernelSHAP,v560_improved,1524,5,0.6967036279966123
corrgroups60,kADDSHAP,v560_improved,1524,5,0.8575174620200414
corrgroups60,RegressionMSR,v560_improved,1524,5,0.7398265929950867
corrgroups60,OddSHAP,v560_improved,1524,5,0.8500324659980834
corrgroups60,MSR,v560_improved,2900,5,1.2718272820056882
corrgroups60,SVARM,v560_improved,2900,5,3.3692777899850626
corrgroups60,PermSamp,v560_improved,2900,5,1.1089232309896033
corrgroups60,KernelSHAP,v560_improved,2900,5,1.28913860899047
corrgroups60,kADDSHAP,v560_improved,2900,5,1.5567763769940939
corrgroups60,RegressionMSR,v560_improved,2900,5,1.358054751995951
corrgroups60,OddSHAP,v560_improved,2900,5,1.4143516230105888
corrgroups60,MSR,v560_improved,5521,5,2.3978303380135912
corrgroups60,SVARM,v560_improved,5521,5,6.007398438989185
corrgroups60,PermSamp,v560_improved,5521,5,2.1059839759836905
corrgroups60,KernelSHAP,v560_improved,5521,5,2.4049433519830927
corrgroups60,kADDSHAP,v560_improved,5521,5,2.906406132999109
corrgroups60,RegressionMSR,v560_improved,5521,5,2.5848938330018427
corrgroups60,OddSHAP,v560_improved,5521,5,2.59376393299317
corrgroups60,MSR,v560_improved,10508,5,4.548519506002776
corrgroups60,SVARM,v560_improved,10508,5,11.083432911982527
corrgroups60,PermSamp,v560_improved,10508,5,4.009462077985518
corrgroups60,KernelSHAP,v560_improved,10508,5,4.533652268990409
corrgroups60,kADDSHAP,v560_improved,10508,5,5.422385382989887
corrgroups60,RegressionMSR,v560_improved,10508,5,4.790494515997125
corrgroups60,OddSHAP,v560_improved,10508,5,5.043137830012711
corrgroups60,MSR,v560_improved,20000,5,8.665744047990302
corrgroups60,SVARM,v560_improved,20000,5,20.30672108998988
corrgroups60,PermSamp,v560_improved,20000,5,7.584010557009606
corrgroups60,KernelSHAP,v560_improved,20000,5,8.64562714198837
corrgroups60,kADDSHAP,v560_improved,20000,5,10.251595262991032
corrgroups60,RegressionMSR,v560_improved,20000,5,9.095759699004702
corrgroups60,OddSHAP,v560_improved,20000,5,11.22271608299343
