vf,estimator,variant,budget,n,median_runtime_s
crime,MSR,v522_merged,102,5,0.0924360670032911
crime,SVARM,v522_merged,102,5,1.0684491420106497
crime,PermSamp,v522_merged,102,5,0.06360073600080796
crime,KernelSHAP,v522_merged,102,5,0.17614854700514115
crime,kADDSHAP,v522_merged,102,5,0.9376151099859271
crime,RegressionMSR,v522_merged,102,5,0.15781352200428955
crime,MSR,v522_merged,183,5,0.14095153202652
crime,SVARM,v522_merged,183,5,1.6307433619804215
crime,PermSamp,v522_merged,183,5,0.062480779975885525
crime,KernelSHAP,v522_merged,183,5,0.23465516499709338
crime,kADDSHAP,v522_merged,183,5,1.0743299940077122
crime,RegressionMSR,v522_merged,183,5,0.22393377998378128
crime,MSR,v522_merged,330,5,0.24472808500286192
crime,SVARM,v522_merged,330,5,2.407163889001822
crime,PermSamp,v522_merged,330,5,0.18364230799488723
crime,KernelSHAP,v522_merged,330,5,0.32712215700303204
crime,kADDSHAP,v522_merged,330,5,1.1429261479934212
crime,RegressionMSR,v522_merged,330,5,0.33642176899593323
crime,MSR,v522_merged,593,5,0.4300604790041689
crime,SVARM,v522_merged,593,5,4.034215441002743
crime,PermSamp,v522_merged,593,5,0.30852970900014043
crime,KernelSHAP,v522_merged,593,5,0.49062015299568884
crime,kADDSHAP,v522_merged,593,5,1.4811296949919779
crime,RegressionMSR,v522_merged,593,5,0.5470635000092443
crime,MSR,v522_merged,1065,5,0.7509424820018467
crime,SVARM,v522_merged,1065,5,6.272604959987802
crime,PermSamp,v522_merged,1065,5,0.614106321008876
crime,KernelSHAP,v522_merged,1065,5,0.759400272014318
crime,kADDSHAP,v522_merged,1065,5,2.1021311249933206
crime,RegressionMSR,v522_merged,1065,5,0.8632608240004629
crime,OddSHAP,v522_merged,1065,5,0.9764904240146279
crime,MSR,v522_merged,1915,5,1.3370785459992476
crime,SVARM,v522_merged,1915,5,9.930572317010956
crime,PermSamp,v522_merged,1915,5,1.1520457880105823
crime,KernelSHAP,v522_merged,1915,5,1.336541318014497
crime,kADDSHAP,v522_merged,1915,5,3.2006661990017164
crime,RegressionMSR,v522_merged,1915,5,1.5039883720164653
crime,OddSHAP,v522_merged,1915,5,1.6439437019871548
crime,MSR,v522_merged,3443,5,2.400561952003045
crime,SVARM,v522_merged,3443,5,16.444543054996757
crime,PermSamp,v522_merged,3443,5,2.0514695039892104
crime,KernelSHAP,v522_merged,3443,5,2.3854500309971627
crime,kADDSHAP,v522_merged,3443,5,5.188673196971649
crime,RegressionMSR,v522_merged,3443,5,2.594923590979306
crime,OddSHAP,v522_merged,3443,5,2.8269805279851425
crime,MSR,v522_merged,6189,5,4.3986312829947565
crime,SVARM,v522_merged,6189,5,28.300945327995578
crime,PermSamp,v522_merged,6189,5,3.6851732060022186
crime,KernelSHAP,v522_merged,6189,5,4.271093037008541
crime,kADDSHAP,v522_merged,6189,5,8.8792469399923
crime,RegressionMSR,v522_merged,6189,5,4.674479100009194
crime,OddSHAP,v522_merged,6189,5,5.053107462008484
crime,MSR,v522_merged,11125,5,7.837333267001668
crime,SVARM,v522_merged,11125,5,49.64283851298387
crime,PermSamp,v522_merged,11125,5,6.84145648102276
crime,KernelSHAP,v522_merged,11125,5,7.768249138985993
crime,kADDSHAP,v522_merged,11125,5,15.428768285986735
crime,RegressionMSR,v522_merged,11125,5,8.173769685992738
crime,OddSHAP,v522_merged,11125,5,9.853936380008236
crime,MSR,v522_merged,20000,5,14.233413781010313
crime,SVARM,v522_merged,20000,5,87.87975703200209
crime,PermSamp,v522_merged,20000,5,12.130774710996775
crime,KernelSHAP,v522_merged,20000,5,13.81941954101785
crime,kADDSHAP,v522_merged,20000,5,27.144837932981318
crime,RegressionMSR,v522_merged,20000,5,14.904199950979091
crime,OddSHAP,v522_merged,20000,5,21.80429006999475
