vf,estimator,variant,budget,n,median_runtime_s
crime,MSR,v560_improved,102,5,0.05779069400159642
crime,SVARM,v560_improved,102,5,0.7080978179874364
crime,PermSamp,v560_improved,102,5,0.04285787700791843
crime,KernelSHAP,v560_improved,102,5,0.15255112000158988
crime,kADDSHAP,v560_improved,102,5,0.7914439739979571
crime,RegressionMSR,v560_improved,102,5,0.11050295899622142
crime,OddSHAP,v560_improved,102,5,0.06163162300072145
crime,MSR,v560_improved,183,5,0.0974082300090231
crime,SVARM,v560_improved,183,5,1.0783219700097106
crime,PermSamp,v560_improved,183,5,0.04338834699592553
crime,KernelSHAP,v560_improved,183,5,0.21545812499243766
crime,kADDSHAP,v560_improved,183,5,0.8936751330038533
crime,RegressionMSR,v560_improved,183,5,0.15559434398892336
crime,OddSHAP,v560_improved,183,5,0.10338347700599115
crime,MSR,v560_improved,330,5,0.16965111599711236
crime,SVARM,v560_improved,330,5,1.5830373409989988
crime,PermSamp,v560_improved,330,5,0.12810265099687967
crime,KernelSHAP,v560_improved,330,5,0.2649906250007916
crime,kADDSHAP,v560_improved,330,5,0.9232303789904108
crime,RegressionMSR,v560_improved,330,5,0.23819313599960878
crime,OddSHAP,v560_improved,330,5,0.2211812230088981
crime,MSR,v560_improved,593,5,0.29984871300985105
crime,SVARM,v560_improved,593,5,2.634316669005784
crime,PermSamp,v560_improved,593,5,0.21432999600074254
crime,KernelSHAP,v560_improved,593,5,0.3499465049972059
crime,kADDSHAP,v560_improved,593,5,1.1791518029931467
crime,RegressionMSR,v560_improved,593,5,0.3750103670026874
crime,OddSHAP,v560_improved,593,5,0.4306382439972367
crime,MSR,v560_improved,1065,5,0.5121000500075752
crime,SVARM,v560_improved,1065,5,4.03024016499694
crime,PermSamp,v560_improved,1065,5,0.42092626400699373
crime,KernelSHAP,v560_improved,1065,5,0.5860152139939601
crime,kADDSHAP,v560_improved,1065,5,1.5667558679997455
crime,RegressionMSR,v560_improved,1065,5,0.6021721940051066
crime,OddSHAP,v560_improved,1065,5,0.7322014149976894
crime,MSR,v560_improved,1915,5,0.9286390000052052
crime,SVARM,v560_improved,1915,5,6.44782623500214
crime,PermSamp,v560_improved,1915,5,0.8155541559972335
crime,KernelSHAP,v560_improved,1915,5,0.9356421359989326
crime,kADDSHAP,v560_improved,1915,5,2.326566992996959
crime,RegressionMSR,v560_improved,1915,5,1.0249580219970085
crime,OddSHAP,v560_improved,1915,5,1.114417381992098
crime,MSR,v560_improved,3443,5,1.6575791770010255
crime,SVARM,v560_improved,3443,5,10.740832671988755
crime,PermSamp,v560_improved,3443,5,1.4584038110042457
crime,KernelSHAP,v560_improved,3443,5,1.6729170030012028
crime,kADDSHAP,v560_improved,3443,5,3.7387537289905595
crime,RegressionMSR,v560_improved,3443,5,1.8263697960064746
crime,OddSHAP,v560_improved,3443,5,1.905874561998644
crime,MSR,v560_improved,6189,5,3.0751358260022243
crime,SVARM,v560_improved,6189,5,18.44590449500538
crime,PermSamp,v560_improved,6189,5,2.588782127990271
crime,KernelSHAP,v560_improved,6189,5,2.995906637996086
crime,kADDSHAP,v560_improved,6189,5,6.219390294005279
crime,RegressionMSR,v560_improved,6189,5,3.191041222002241
crime,OddSHAP,v560_improved,6189,5,3.3067272689950187
crime,MSR,v560_improved,11125,5,5.462245279006311
crime,SVARM,v560_improved,11125,5,32.263110665997374
crime,PermSamp,v560_improved,11125,5,4.696747832000256
crime,KernelSHAP,v560_improved,11125,5,5.317378610998276
crime,kADDSHAP,v560_improved,11125,5,10.765657591997297
crime,RegressionMSR,v560_improved,11125,5,5.66906658699736
crime,OddSHAP,v560_improved,11125,5,5.940608019998763
crime,MSR,v560_improved,20000,5,9.737796810004511
crime,SVARM,v560_improved,20000,5,56.41618342000584
crime,PermSamp,v560_improved,20000,5,8.475242212007288
crime,KernelSHAP,v560_improved,20000,5,9.489243019997957
crime,kADDSHAP,v560_improved,20000,5,18.944838904004428
crime,RegressionMSR,v560_improved,20000,5,10.356304567001644
crime,OddSHAP,v560_improved,20000,5,12.22613211000862
