vf,estimator,variant,budget,n,median_runtime_s
distilbert,MSR,v522_merged,15,30,0.0027995585
distilbert,MSR,v522_merged,33,30,0.0041137085
distilbert,MSR,v522_merged,71,30,0.0063747725
distilbert,MSR,v522_merged,154,30,0.0096803145
distilbert,MSR,v522_merged,336,30,0.02050539
distilbert,MSR,v522_merged,731,30,0.032326005
distilbert,MSR,v522_merged,1591,30,0.08674335
distilbert,SVARM,v522_merged,15,30,0.02106253
distilbert,SVARM,v522_merged,33,30,0.036967595
distilbert,SVARM,v522_merged,71,30,0.04561013
distilbert,SVARM,v522_merged,154,30,0.061822425
distilbert,SVARM,v522_merged,336,30,0.06558618499999999
distilbert,SVARM,v522_merged,731,30,0.10293905
distilbert,SVARM,v522_merged,1591,30,0.20150145
distilbert,PermSamp,v522_merged,15,30,0.00041979555
distilbert,PermSamp,v522_merged,33,30,0.00055684895
distilbert,PermSamp,v522_merged,71,30,0.0007851925
distilbert,PermSamp,v522_merged,154,30,0.001181394
distilbert,PermSamp,v522_merged,336,30,0.0020093919999999996
distilbert,PermSamp,v522_merged,731,30,0.0038927799999999998
distilbert,PermSamp,v522_merged,1591,30,0.007932126500000001
distilbert,KernelSHAP,v522_merged,15,30,0.0020729785000000002
distilbert,KernelSHAP,v522_merged,33,30,0.0031385345
distilbert,KernelSHAP,v522_merged,71,30,0.0055639325
distilbert,KernelSHAP,v522_merged,154,30,0.008574062
distilbert,KernelSHAP,v522_merged,336,30,0.018711785
distilbert,KernelSHAP,v522_merged,731,30,0.0303622
distilbert,KernelSHAP,v522_merged,1591,30,0.08100458999999999
distilbert,kADDSHAP,v522_merged,15,30,0.003453209
distilbert,kADDSHAP,v522_merged,33,30,0.0030773505
distilbert,kADDSHAP,v522_merged,71,30,0.0053021235
distilbert,kADDSHAP,v522_merged,154,30,0.010030642999999999
distilbert,kADDSHAP,v522_merged,336,30,0.020917900000000003
distilbert,kADDSHAP,v522_merged,731,30,0.033161765
distilbert,kADDSHAP,v522_merged,1591,30,0.08499951
distilbert,RegressionMSR,v522_merged,15,30,0.029280075000000003
distilbert,RegressionMSR,v522_merged,33,30,0.049794095
distilbert,RegressionMSR,v522_merged,71,30,0.057102534999999996
distilbert,RegressionMSR,v522_merged,154,30,0.06326586000000001
distilbert,RegressionMSR,v522_merged,336,30,0.0903927
distilbert,RegressionMSR,v522_merged,731,30,0.14060695
distilbert,RegressionMSR,v522_merged,1591,30,0.2204768
distilbert,OddSHAP,v522_merged,154,30,0.02727088
distilbert,OddSHAP,v522_merged,336,30,0.05811112
distilbert,OddSHAP,v522_merged,731,30,0.1380649
distilbert,OddSHAP,v522_merged,1591,30,0.25358705000000004
