vf,estimator,variant,budget,n,median_runtime_s
distilbert,MSR,v560_improved,15,30,0.002869457
distilbert,MSR,v560_improved,33,30,0.0041366145
distilbert,MSR,v560_improved,71,30,0.006303805
distilbert,MSR,v560_improved,154,30,0.0094239635
distilbert,MSR,v560_improved,336,30,0.020053095
distilbert,MSR,v560_improved,731,30,0.03180328
distilbert,MSR,v560_improved,1591,30,0.082926685
distilbert,SVARM,v560_improved,15,30,0.020588
distilbert,SVARM,v560_improved,33,30,0.034499255
distilbert,SVARM,v560_improved,71,30,0.03989823
distilbert,SVARM,v560_improved,154,30,0.047311945
distilbert,SVARM,v560_improved,336,30,0.066182695
distilbert,SVARM,v560_improved,731,30,0.1015358
distilbert,SVARM,v560_improved,1591,30,0.20004325
distilbert,PermSamp,v560_improved,15,30,0.00044944545
distilbert,PermSamp,v560_improved,33,30,0.0005284101
distilbert,PermSamp,v560_improved,71,30,0.0007469878
distilbert,PermSamp,v560_improved,154,30,0.0011781349999999999
distilbert,PermSamp,v560_improved,336,30,0.0020527105
distilbert,PermSamp,v560_improved,731,30,0.0039702515
distilbert,PermSamp,v560_improved,1591,30,0.0079857465
distilbert,KernelSHAP,v560_improved,15,30,0.0021254465
distilbert,KernelSHAP,v560_improved,33,30,0.003084533
distilbert,KernelSHAP,v560_improved,71,30,0.0054221375
distilbert,KernelSHAP,v560_improved,154,30,0.0081909445
distilbert,KernelSHAP,v560_improved,336,30,0.018310795
distilbert,KernelSHAP,v560_improved,731,30,0.029199290000000003
distilbert,KernelSHAP,v560_improved,1591,30,0.080204125
distilbert,kADDSHAP,v560_improved,15,30,0.0035070705
distilbert,kADDSHAP,v560_improved,33,30,0.0031732765
distilbert,kADDSHAP,v560_improved,71,30,0.0054262625
distilbert,kADDSHAP,v560_improved,154,30,0.0099607685
distilbert,kADDSHAP,v560_improved,336,30,0.020020865
distilbert,kADDSHAP,v560_improved,731,30,0.032235849999999996
distilbert,kADDSHAP,v560_improved,1591,30,0.08518653500000001
distilbert,RegressionMSR,v560_improved,15,30,0.03060505
distilbert,RegressionMSR,v560_improved,33,30,0.046049195
distilbert,RegressionMSR,v560_improved,71,30,0.05423813
distilbert,RegressionMSR,v560_improved,154,30,0.055043665000000006
distilbert,RegressionMSR,v560_improved,336,30,0.1036822
distilbert,RegressionMSR,v560_improved,731,30,0.13711855
distilbert,RegressionMSR,v560_improved,1591,30,0.2105206
distilbert,OddSHAP,v560_improved,15,30,0.004680573
distilbert,OddSHAP,v560_improved,33,30,0.005419955000000001
distilbert,OddSHAP,v560_improved,71,30,0.016851110000000002
distilbert,OddSHAP,v560_improved,154,30,0.027362155
distilbert,OddSHAP,v560_improved,336,30,0.049039975
distilbert,OddSHAP,v560_improved,731,30,0.1332392
distilbert,OddSHAP,v560_improved,1591,30,0.23977095
