vf,estimator,variant,budget,n,median_runtime_s
independentlinear60,MSR,v522_merged,61,5,0.036326430999906734
independentlinear60,SVARM,v522_merged,61,5,0.21478222601581365
independentlinear60,PermSamp,v522_merged,61,5,0.02472250399296172
independentlinear60,KernelSHAP,v522_merged,61,5,0.02990275900810957
independentlinear60,kADDSHAP,v522_merged,61,5,0.17724040898610838
independentlinear60,RegressionMSR,v522_merged,61,5,0.08300912499544211
independentlinear60,MSR,v522_merged,116,5,0.05744114000117406
independentlinear60,SVARM,v522_merged,116,5,0.3381257959990762
independentlinear60,PermSamp,v522_merged,116,5,0.02368300099624321
independentlinear60,KernelSHAP,v522_merged,116,5,0.05398371699266136
independentlinear60,kADDSHAP,v522_merged,116,5,0.2067303019866813
independentlinear60,RegressionMSR,v522_merged,116,5,0.105906637996668
independentlinear60,MSR,v522_merged,221,5,0.10200939400237985
independentlinear60,SVARM,v522_merged,221,5,0.5191395650035702
independentlinear60,PermSamp,v522_merged,221,5,0.06869496399303898
independentlinear60,KernelSHAP,v522_merged,221,5,0.17698128600022756
independentlinear60,kADDSHAP,v522_merged,221,5,0.27578573097707704
independentlinear60,RegressionMSR,v522_merged,221,5,0.16218269101227634
independentlinear60,MSR,v522_merged,421,5,0.1930143010104075
independentlinear60,SVARM,v522_merged,421,5,0.8235548810043838
independentlinear60,PermSamp,v522_merged,421,5,0.16337008599657565
independentlinear60,KernelSHAP,v522_merged,421,5,0.26523451899993233
independentlinear60,kADDSHAP,v522_merged,421,5,0.36052232500514947
independentlinear60,RegressionMSR,v522_merged,421,5,0.2559450209955685
independentlinear60,MSR,v522_merged,801,5,0.3491183480073232
independentlinear60,SVARM,v522_merged,801,5,1.162814060022356
independentlinear60,PermSamp,v522_merged,801,5,0.2982225699815899
independentlinear60,KernelSHAP,v522_merged,801,5,0.43991491000633687
independentlinear60,kADDSHAP,v522_merged,801,5,0.5278663149802014
independentlinear60,RegressionMSR,v522_merged,801,5,0.49915141201927327
independentlinear60,OddSHAP,v522_merged,801,5,0.5395621839852538
independentlinear60,MSR,v522_merged,1524,5,0.6725873459945433
independentlinear60,SVARM,v522_merged,1524,5,1.9235329350049142
independentlinear60,PermSamp,v522_merged,1524,5,0.5752650919894222
independentlinear60,KernelSHAP,v522_merged,1524,5,0.7080711890012026
independentlinear60,kADDSHAP,v522_merged,1524,5,0.8646836880070623
independentlinear60,RegressionMSR,v522_merged,1524,5,0.7580453799746465
independentlinear60,OddSHAP,v522_merged,1524,5,0.8245467809902038
independentlinear60,MSR,v522_merged,2900,5,1.2705294050101656
independentlinear60,SVARM,v522_merged,2900,5,3.2951798349968158
independentlinear60,PermSamp,v522_merged,2900,5,1.1089847380062565
independentlinear60,KernelSHAP,v522_merged,2900,5,1.3006027459923644
independentlinear60,kADDSHAP,v522_merged,2900,5,1.570479419984622
independentlinear60,RegressionMSR,v522_merged,2900,5,1.3875784219999332
independentlinear60,OddSHAP,v522_merged,2900,5,1.426886845001718
independentlinear60,MSR,v522_merged,5521,5,2.3840036359906662
independentlinear60,SVARM,v522_merged,5521,5,5.956151683989447
independentlinear60,PermSamp,v522_merged,5521,5,2.1198807540058624
independentlinear60,KernelSHAP,v522_merged,5521,5,2.3934918909799308
independentlinear60,kADDSHAP,v522_merged,5521,5,2.9322062199935317
independentlinear60,RegressionMSR,v522_merged,5521,5,2.6268380419933237
independentlinear60,OddSHAP,v522_merged,5521,5,2.7394349630048964
independentlinear60,MSR,v522_merged,10508,5,4.597247679019347
independentlinear60,SVARM,v522_merged,10508,5,11.610470908985008
independentlinear60,PermSamp,v522_merged,10508,5,4.045255735982209
independentlinear60,KernelSHAP,v522_merged,10508,5,4.589854869002011
independentlinear60,kADDSHAP,v522_merged,10508,5,5.503849410015391
independentlinear60,RegressionMSR,v522_merged,10508,5,4.823115808016155
independentlinear60,OddSHAP,v522_merged,10508,5,5.814033423986984
independentlinear60,MSR,v522_merged,20000,5,9.048481692007044
independentlinear60,SVARM,v522_merged,20000,5,20.614673619973473
independentlinear60,PermSamp,v522_merged,20000,5,7.633909252006561
independentlinear60,KernelSHAP,v522_merged,20000,5,8.639061057998333
independentlinear60,kADDSHAP,v522_merged,20000,5,10.467792050010758
independentlinear60,RegressionMSR,v522_merged,20000,5,9.24661401900812
independentlinear60,OddSHAP,v522_merged,20000,5,14.133928938012104
