vf,estimator,variant,budget,n,median_runtime_s
independentlinear60,MSR,v560_improved,61,5,0.03295186799368821
independentlinear60,SVARM,v560_improved,61,5,0.21032867301255465
independentlinear60,PermSamp,v560_improved,61,5,0.02400593800120987
independentlinear60,KernelSHAP,v560_improved,61,5,0.029449096007738262
independentlinear60,kADDSHAP,v560_improved,61,5,0.19764513801783323
independentlinear60,RegressionMSR,v560_improved,61,5,0.07596311499946751
independentlinear60,OddSHAP,v560_improved,61,5,0.036381905985763296
independentlinear60,MSR,v560_improved,116,5,0.056290476000867784
independentlinear60,SVARM,v560_improved,116,5,0.3372911229962483
independentlinear60,PermSamp,v560_improved,116,5,0.023522252013208345
independentlinear60,KernelSHAP,v560_improved,116,5,0.053205244010314345
independentlinear60,kADDSHAP,v560_improved,116,5,0.192937793006422
independentlinear60,RegressionMSR,v560_improved,116,5,0.10609955599647947
independentlinear60,OddSHAP,v560_improved,116,5,0.06156107899732888
independentlinear60,MSR,v560_improved,221,5,0.10254373901989311
independentlinear60,SVARM,v560_improved,221,5,0.5278512339864392
independentlinear60,PermSamp,v560_improved,221,5,0.07034393301000819
independentlinear60,KernelSHAP,v560_improved,221,5,0.178274648002116
independentlinear60,kADDSHAP,v560_improved,221,5,0.24828555999556556
independentlinear60,RegressionMSR,v560_improved,221,5,0.16289069000049494
independentlinear60,OddSHAP,v560_improved,221,5,0.11045906800427474
independentlinear60,MSR,v560_improved,421,5,0.18890116701368243
independentlinear60,SVARM,v560_improved,421,5,0.7642888369737193
independentlinear60,PermSamp,v560_improved,421,5,0.15861908797523938
independentlinear60,KernelSHAP,v560_improved,421,5,0.25892964599188417
independentlinear60,kADDSHAP,v560_improved,421,5,0.3478060750057921
independentlinear60,RegressionMSR,v560_improved,421,5,0.25229736798792146
independentlinear60,OddSHAP,v560_improved,421,5,0.29542047702125274
independentlinear60,MSR,v560_improved,801,5,0.3458887040033005
independentlinear60,SVARM,v560_improved,801,5,1.1598797949845903
independentlinear60,PermSamp,v560_improved,801,5,0.29451011499622837
independentlinear60,KernelSHAP,v560_improved,801,5,0.41702657099813223
independentlinear60,kADDSHAP,v560_improved,801,5,0.5428143600001931
independentlinear60,RegressionMSR,v560_improved,801,5,0.4252906529873144
independentlinear60,OddSHAP,v560_improved,801,5,0.5410261829965748
independentlinear60,MSR,v560_improved,1524,5,0.671122651983751
independentlinear60,SVARM,v560_improved,1524,5,1.889218380994862
independentlinear60,PermSamp,v560_improved,1524,5,0.5689870450005401
independentlinear60,KernelSHAP,v560_improved,1524,5,0.7144882529973984
independentlinear60,kADDSHAP,v560_improved,1524,5,0.8675901950045954
independentlinear60,RegressionMSR,v560_improved,1524,5,0.7587553310149815
independentlinear60,OddSHAP,v560_improved,1524,5,0.8067837160197087
independentlinear60,MSR,v560_improved,2900,5,1.248094073991524
independentlinear60,SVARM,v560_improved,2900,5,3.257826954999473
independentlinear60,PermSamp,v560_improved,2900,5,1.0976446959830355
independentlinear60,KernelSHAP,v560_improved,2900,5,1.269072024995694
independentlinear60,kADDSHAP,v560_improved,2900,5,1.5514758310164325
independentlinear60,RegressionMSR,v560_improved,2900,5,1.375585494999541
independentlinear60,OddSHAP,v560_improved,2900,5,1.3831245649780612
independentlinear60,MSR,v560_improved,5521,5,2.379888610012131
independentlinear60,SVARM,v560_improved,5521,5,5.944059370027389
independentlinear60,PermSamp,v560_improved,5521,5,2.0827915880072396
independentlinear60,KernelSHAP,v560_improved,5521,5,2.375722255994333
independentlinear60,kADDSHAP,v560_improved,5521,5,2.8868764450016897
independentlinear60,RegressionMSR,v560_improved,5521,5,2.5762628719967324
independentlinear60,OddSHAP,v560_improved,5521,5,2.604973397013964
independentlinear60,MSR,v560_improved,10508,5,4.595415363000939
independentlinear60,SVARM,v560_improved,10508,5,10.951986533007585
independentlinear60,PermSamp,v560_improved,10508,5,4.01687510102056
independentlinear60,KernelSHAP,v560_improved,10508,5,4.540319438994629
independentlinear60,kADDSHAP,v560_improved,10508,5,5.4233949379995465
independentlinear60,RegressionMSR,v560_improved,10508,5,4.7615137299872
independentlinear60,OddSHAP,v560_improved,10508,5,5.035491234011715
independentlinear60,MSR,v560_improved,20000,5,8.636551765986951
independentlinear60,SVARM,v560_improved,20000,5,20.312823307001963
independentlinear60,PermSamp,v560_improved,20000,5,7.618341497989604
independentlinear60,KernelSHAP,v560_improved,20000,5,8.610959698999068
independentlinear60,kADDSHAP,v560_improved,20000,5,10.291061451018322
independentlinear60,RegressionMSR,v560_improved,20000,5,9.041742901987163
independentlinear60,OddSHAP,v560_improved,20000,5,11.229330622998532
