vf,estimator,variant,budget,n,median_runtime_s
nhanes,MSR,v522_merged,80,5,0.05412473200703971
nhanes,SVARM,v522_merged,80,5,0.3950312670203857
nhanes,PermSamp,v522_merged,80,5,0.03657441501854919
nhanes,KernelSHAP,v522_merged,80,5,0.04646323499036953
nhanes,kADDSHAP,v522_merged,80,5,0.33792115800315514
nhanes,RegressionMSR,v522_merged,80,5,0.09810428900527768
nhanes,MSR,v522_merged,148,5,0.08352583699161187
nhanes,SVARM,v522_merged,148,5,0.6099367069837172
nhanes,PermSamp,v522_merged,148,5,0.036854062986094505
nhanes,KernelSHAP,v522_merged,148,5,0.1519552560057491
nhanes,kADDSHAP,v522_merged,148,5,0.3644867709954269
nhanes,RegressionMSR,v522_merged,148,5,0.13219096398097463
nhanes,MSR,v522_merged,273,5,0.14790195800014772
nhanes,SVARM,v522_merged,273,5,0.9354500939953141
nhanes,PermSamp,v522_merged,273,5,0.10741717799101025
nhanes,KernelSHAP,v522_merged,273,5,0.22022252000169829
nhanes,kADDSHAP,v522_merged,273,5,0.44857013801811263
nhanes,RegressionMSR,v522_merged,273,5,0.21503056900110096
nhanes,MSR,v522_merged,504,5,0.26854704300058074
nhanes,SVARM,v522_merged,504,5,1.449414376023924
nhanes,PermSamp,v522_merged,504,5,0.214358251017984
nhanes,KernelSHAP,v522_merged,504,5,0.3328893779835198
nhanes,kADDSHAP,v522_merged,504,5,0.6118882510054391
nhanes,RegressionMSR,v522_merged,504,5,0.34097806198406033
nhanes,MSR,v522_merged,931,5,0.4778892089962028
nhanes,SVARM,v522_merged,931,5,2.216265180002665
nhanes,PermSamp,v522_merged,931,5,0.3980317639943678
nhanes,KernelSHAP,v522_merged,931,5,0.5341724659956526
nhanes,kADDSHAP,v522_merged,931,5,0.8956098070193548
nhanes,RegressionMSR,v522_merged,931,5,0.5551161309995223
nhanes,OddSHAP,v522_merged,931,5,0.6844277640047949
nhanes,MSR,v522_merged,1719,5,0.8788445290119853
nhanes,SVARM,v522_merged,1719,5,3.5888823060085997
nhanes,PermSamp,v522_merged,1719,5,0.7927140829851851
nhanes,KernelSHAP,v522_merged,1719,5,0.9022013969952241
nhanes,kADDSHAP,v522_merged,1719,5,1.4704100880189799
nhanes,RegressionMSR,v522_merged,1719,5,0.9703227040008642
nhanes,OddSHAP,v522_merged,1719,5,1.031874328997219
nhanes,MSR,v522_merged,3175,5,1.6106019009894226
nhanes,SVARM,v522_merged,3175,5,6.252761484996881
nhanes,PermSamp,v522_merged,3175,5,1.4402305699768476
nhanes,KernelSHAP,v522_merged,3175,5,1.6410944930103142
nhanes,kADDSHAP,v522_merged,3175,5,2.54351502598729
nhanes,RegressionMSR,v522_merged,3175,5,1.7466068809735589
nhanes,OddSHAP,v522_merged,3175,5,1.830958838982042
nhanes,MSR,v522_merged,5863,5,2.9887981840001885
nhanes,SVARM,v522_merged,5863,5,11.129028383991681
nhanes,PermSamp,v522_merged,5863,5,2.690093999990495
nhanes,KernelSHAP,v522_merged,5863,5,2.9583985620120075
nhanes,kADDSHAP,v522_merged,5863,5,4.472080152016133
nhanes,RegressionMSR,v522_merged,5863,5,3.1570629850029945
nhanes,OddSHAP,v522_merged,5863,5,3.410071229998721
nhanes,MSR,v522_merged,10829,5,5.498043505998794
nhanes,SVARM,v522_merged,10829,5,19.01124721998349
nhanes,PermSamp,v522_merged,10829,5,4.895986613992136
nhanes,KernelSHAP,v522_merged,10829,5,5.470406390988501
nhanes,kADDSHAP,v522_merged,10829,5,8.045750641002087
nhanes,RegressionMSR,v522_merged,10829,5,5.746564280008897
nhanes,OddSHAP,v522_merged,10829,5,6.766240427998127
nhanes,MSR,v522_merged,20000,5,10.131496882997453
nhanes,SVARM,v522_merged,20000,5,34.51813958201092
nhanes,PermSamp,v522_merged,20000,5,9.057998806005344
nhanes,KernelSHAP,v522_merged,20000,5,10.029673987010028
nhanes,kADDSHAP,v522_merged,20000,5,14.670736447005766
nhanes,RegressionMSR,v522_merged,20000,5,10.669875628023874
nhanes,OddSHAP,v522_merged,20000,5,16.082745040999725
