vf,estimator,variant,budget,n,median_runtime_s
nhanes,MSR,v560_improved,80,5,0.04835306102177128
nhanes,SVARM,v560_improved,80,5,0.39296524398378097
nhanes,PermSamp,v560_improved,80,5,0.03638792299898341
nhanes,KernelSHAP,v560_improved,80,5,0.044228840997675434
nhanes,kADDSHAP,v560_improved,80,5,0.3367227209964767
nhanes,RegressionMSR,v560_improved,80,5,0.09503195298020728
nhanes,OddSHAP,v560_improved,80,5,0.05221827299101278
nhanes,MSR,v560_improved,148,5,0.08309495099820197
nhanes,SVARM,v560_improved,148,5,0.6077588030020706
nhanes,PermSamp,v560_improved,148,5,0.036829452990787104
nhanes,KernelSHAP,v560_improved,148,5,0.1595116110111121
nhanes,kADDSHAP,v560_improved,148,5,0.36497731899726205
nhanes,RegressionMSR,v560_improved,148,5,0.13071889901766554
nhanes,OddSHAP,v560_improved,148,5,0.08840416799648665
nhanes,MSR,v560_improved,273,5,0.14591692999238148
nhanes,SVARM,v560_improved,273,5,0.9304795069911052
nhanes,PermSamp,v560_improved,273,5,0.1064302519953344
nhanes,KernelSHAP,v560_improved,273,5,0.2332893060229253
nhanes,kADDSHAP,v560_improved,273,5,0.4765925499959849
nhanes,RegressionMSR,v560_improved,273,5,0.20472887399955653
nhanes,OddSHAP,v560_improved,273,5,0.1612347069894895
nhanes,MSR,v560_improved,504,5,0.26867461000801995
nhanes,SVARM,v560_improved,504,5,1.5963690290227532
nhanes,PermSamp,v560_improved,504,5,0.2157225850096438
nhanes,KernelSHAP,v560_improved,504,5,0.3284507989883423
nhanes,kADDSHAP,v560_improved,504,5,0.6204811930074356
nhanes,RegressionMSR,v560_improved,504,5,0.33561293900129385
nhanes,OddSHAP,v560_improved,504,5,0.3856024229899049
nhanes,MSR,v560_improved,931,5,0.47193542498280294
nhanes,SVARM,v560_improved,931,5,2.231329127011122
nhanes,PermSamp,v560_improved,931,5,0.3928805899922736
nhanes,KernelSHAP,v560_improved,931,5,0.5329096019850112
nhanes,kADDSHAP,v560_improved,931,5,0.9028322469966952
nhanes,RegressionMSR,v560_improved,931,5,0.5574071320006624
nhanes,OddSHAP,v560_improved,931,5,0.7086153239943087
nhanes,MSR,v560_improved,1719,5,0.8859166869951878
nhanes,SVARM,v560_improved,1719,5,3.6148041520209517
nhanes,PermSamp,v560_improved,1719,5,0.7882605659833644
nhanes,KernelSHAP,v560_improved,1719,5,0.9248729219834786
nhanes,kADDSHAP,v560_improved,1719,5,1.4739871229976416
nhanes,RegressionMSR,v560_improved,1719,5,0.9714983010198921
nhanes,OddSHAP,v560_improved,1719,5,1.0177949909993913
nhanes,MSR,v560_improved,3175,5,1.6101368719828315
nhanes,SVARM,v560_improved,3175,5,6.095886420021998
nhanes,PermSamp,v560_improved,3175,5,1.4172031180060003
nhanes,KernelSHAP,v560_improved,3175,5,1.6280274209857453
nhanes,kADDSHAP,v560_improved,3175,5,2.5385933110082988
nhanes,RegressionMSR,v560_improved,3175,5,1.7518770030001178
nhanes,OddSHAP,v560_improved,3175,5,1.7654060460045002
nhanes,MSR,v560_improved,5863,5,2.950230615999317
nhanes,SVARM,v560_improved,5863,5,10.634671490988694
nhanes,PermSamp,v560_improved,5863,5,2.6393341519869864
nhanes,KernelSHAP,v560_improved,5863,5,2.9540138359880075
nhanes,kADDSHAP,v560_improved,5863,5,4.48146472798544
nhanes,RegressionMSR,v560_improved,5863,5,3.171957841987023
nhanes,OddSHAP,v560_improved,5863,5,3.188305521995062
nhanes,MSR,v560_improved,10829,5,5.4589810829784255
nhanes,SVARM,v560_improved,10829,5,19.016337708977517
nhanes,PermSamp,v560_improved,10829,5,4.8417202179844026
nhanes,KernelSHAP,v560_improved,10829,5,5.417772330984008
nhanes,kADDSHAP,v560_improved,10829,5,8.033568518003449
nhanes,RegressionMSR,v560_improved,10829,5,5.769410812004935
nhanes,OddSHAP,v560_improved,10829,5,6.0339765529788565
nhanes,MSR,v560_improved,20000,5,10.147535540017998
nhanes,SVARM,v560_improved,20000,5,34.65486162801972
nhanes,PermSamp,v560_improved,20000,5,9.053440591000253
nhanes,KernelSHAP,v560_improved,20000,5,10.072400286997436
nhanes,kADDSHAP,v560_improved,20000,5,14.6321689329925
nhanes,RegressionMSR,v560_improved,20000,5,10.616019515000517
nhanes,OddSHAP,v560_improved,20000,5,12.823990231991047
