vf,estimator,variant,budget,n,median_runtime_s
realestate,MSR,v522_merged,16,5,0.008427190012298524
realestate,SVARM,v522_merged,16,5,0.025631753000197932
realestate,PermSamp,v522_merged,16,5,0.006047750008292496
realestate,KernelSHAP,v522_merged,16,5,0.007619026000611484
realestate,kADDSHAP,v522_merged,16,5,0.11500990798231214
realestate,RegressionMSR,v522_merged,16,5,0.04978625799412839
realestate,MSR,v522_merged,35,5,0.016500557016115636
realestate,SVARM,v522_merged,35,5,0.03835311802686192
realestate,PermSamp,v522_merged,35,5,0.011318661010591313
realestate,KernelSHAP,v522_merged,35,5,0.015779027016833425
realestate,kADDSHAP,v522_merged,35,5,0.13000049299444072
realestate,RegressionMSR,v522_merged,35,5,0.05700940202223137
realestate,MSR,v522_merged,78,5,0.03398387899505906
realestate,SVARM,v522_merged,78,5,0.05806596699403599
realestate,PermSamp,v522_merged,78,5,0.026061728975037113
realestate,KernelSHAP,v522_merged,78,5,0.033407062001060694
realestate,kADDSHAP,v522_merged,78,5,0.2069761230086442
realestate,RegressionMSR,v522_merged,78,5,0.08078798500355333
realestate,MSR,v522_merged,172,5,0.07220358098857105
realestate,SVARM,v522_merged,172,5,0.10062862499034964
realestate,PermSamp,v522_merged,172,5,0.06260969999129884
realestate,KernelSHAP,v522_merged,172,5,0.07229800100321881
realestate,kADDSHAP,v522_merged,172,5,0.17475604198989458
realestate,RegressionMSR,v522_merged,172,5,0.11596488900249824
realestate,OddSHAP,v522_merged,172,5,0.08136223701876588
realestate,MSR,v522_merged,381,5,0.1573137619998306
realestate,SVARM,v522_merged,381,5,0.190105162007967
realestate,PermSamp,v522_merged,381,5,0.13917387000401504
realestate,KernelSHAP,v522_merged,381,5,0.1557315899990499
realestate,kADDSHAP,v522_merged,381,5,0.29094716400140896
realestate,RegressionMSR,v522_merged,381,5,0.20453207098762505
realestate,OddSHAP,v522_merged,381,5,0.2508725539955776
realestate,MSR,v522_merged,841,5,0.3341343039937783
realestate,SVARM,v522_merged,841,5,0.37967333898996003
realestate,PermSamp,v522_merged,841,5,0.2999810570036061
realestate,KernelSHAP,v522_merged,841,5,0.32966506099910475
realestate,kADDSHAP,v522_merged,841,5,0.41501855599926785
realestate,RegressionMSR,v522_merged,841,5,0.38924970300286077
realestate,OddSHAP,v522_merged,841,5,0.4625844130059704
realestate,MSR,v522_merged,1857,5,0.7550217579992022
realestate,SVARM,v522_merged,1857,5,0.8230218270036858
realestate,PermSamp,v522_merged,1857,5,0.68144175701309
realestate,KernelSHAP,v522_merged,1857,5,0.7539392119797412
realestate,kADDSHAP,v522_merged,1857,5,0.8006929680122994
realestate,RegressionMSR,v522_merged,1857,5,0.8187264050066005
realestate,OddSHAP,v522_merged,1857,5,0.8656065230024979
realestate,MSR,v522_merged,4100,5,1.6327378900023177
realestate,SVARM,v522_merged,4100,5,1.7540348400070798
realestate,PermSamp,v522_merged,4100,5,1.501881317992229
realestate,KernelSHAP,v522_merged,4100,5,1.6184132909984328
realestate,kADDSHAP,v522_merged,4100,5,1.6774841159931384
realestate,RegressionMSR,v522_merged,4100,5,1.7266023489937652
realestate,OddSHAP,v522_merged,4100,5,1.818062103993725
realestate,MSR,v522_merged,9056,5,3.6990453509788495
realestate,SVARM,v522_merged,9056,5,3.946908938989509
realestate,PermSamp,v522_merged,9056,5,3.3205971129937097
realestate,KernelSHAP,v522_merged,9056,5,3.687020159995882
realestate,kADDSHAP,v522_merged,9056,5,3.6958744279982056
realestate,RegressionMSR,v522_merged,9056,5,3.8201836310036015
realestate,OddSHAP,v522_merged,9056,5,3.9447810309939086
realestate,MSR,v522_merged,20000,5,8.215847875981126
realestate,SVARM,v522_merged,20000,5,8.792465298000025
realestate,PermSamp,v522_merged,20000,5,7.265021453000372
realestate,KernelSHAP,v522_merged,20000,5,8.200809736008523
realestate,kADDSHAP,v522_merged,20000,5,8.242806219001068
realestate,RegressionMSR,v522_merged,20000,5,8.49746747300378
realestate,OddSHAP,v522_merged,20000,5,8.562013190996367
