vf,estimator,variant,budget,n,median_runtime_s
realestate,MSR,v560_improved,16,5,0.008564742020098493
realestate,SVARM,v560_improved,16,5,0.026793209020979702
realestate,PermSamp,v560_improved,16,5,0.006184815021697432
realestate,KernelSHAP,v560_improved,16,5,0.007684226002311334
realestate,kADDSHAP,v560_improved,16,5,0.13409119099378586
realestate,RegressionMSR,v560_improved,16,5,0.0519509139994625
realestate,OddSHAP,v560_improved,16,5,0.00880485397647135
realestate,MSR,v560_improved,35,5,0.016244352998910472
realestate,SVARM,v560_improved,35,5,0.03922545301611535
realestate,PermSamp,v560_improved,35,5,0.011075737973442301
realestate,KernelSHAP,v560_improved,35,5,0.015617188008036464
realestate,kADDSHAP,v560_improved,35,5,0.12921937799546868
realestate,RegressionMSR,v560_improved,35,5,0.05595755501417443
realestate,OddSHAP,v560_improved,35,5,0.016706010996131226
realestate,MSR,v560_improved,78,5,0.03476766700623557
realestate,SVARM,v560_improved,78,5,0.0602398389892187
realestate,PermSamp,v560_improved,78,5,0.026645803009159863
realestate,KernelSHAP,v560_improved,78,5,0.03399341501062736
realestate,kADDSHAP,v560_improved,78,5,0.15611576900118962
realestate,RegressionMSR,v560_improved,78,5,0.07994505297392607
realestate,OddSHAP,v560_improved,78,5,0.042276394000509754
realestate,MSR,v560_improved,172,5,0.07487741799559444
realestate,SVARM,v560_improved,172,5,0.10466865400667302
realestate,PermSamp,v560_improved,172,5,0.06657674800953828
realestate,KernelSHAP,v560_improved,172,5,0.07380645000375807
realestate,kADDSHAP,v560_improved,172,5,0.17001757500111125
realestate,RegressionMSR,v560_improved,172,5,0.11892248300136998
realestate,OddSHAP,v560_improved,172,5,0.08364344100118615
realestate,MSR,v560_improved,381,5,0.15865263700834475
realestate,SVARM,v560_improved,381,5,0.19585091900080442
realestate,PermSamp,v560_improved,381,5,0.14257670601364225
realestate,KernelSHAP,v560_improved,381,5,0.15876799600664526
realestate,kADDSHAP,v560_improved,381,5,0.26638938300311565
realestate,RegressionMSR,v560_improved,381,5,0.20482709500356577
realestate,OddSHAP,v560_improved,381,5,0.17379630700452253
realestate,MSR,v560_improved,841,5,0.33601375299622305
realestate,SVARM,v560_improved,841,5,0.3871403579832986
realestate,PermSamp,v560_improved,841,5,0.3035037709923927
realestate,KernelSHAP,v560_improved,841,5,0.33477717702044174
realestate,kADDSHAP,v560_improved,841,5,0.43204899900592864
realestate,RegressionMSR,v560_improved,841,5,0.3821591419982724
realestate,OddSHAP,v560_improved,841,5,0.4759119969967287
realestate,MSR,v560_improved,1857,5,0.7626402659807354
realestate,SVARM,v560_improved,1857,5,0.8319449300179258
realestate,PermSamp,v560_improved,1857,5,0.6834909890021663
realestate,KernelSHAP,v560_improved,1857,5,0.7625039230042603
realestate,kADDSHAP,v560_improved,1857,5,0.7993586800002959
realestate,RegressionMSR,v560_improved,1857,5,0.835360363998916
realestate,OddSHAP,v560_improved,1857,5,0.8723862089973409
realestate,MSR,v560_improved,4100,5,1.6276016559859272
realestate,SVARM,v560_improved,4100,5,1.756795305002015
realestate,PermSamp,v560_improved,4100,5,1.4968993150105234
realestate,KernelSHAP,v560_improved,4100,5,1.6177820110169705
realestate,kADDSHAP,v560_improved,4100,5,1.6494750400015619
realestate,RegressionMSR,v560_improved,4100,5,1.7318477609951515
realestate,OddSHAP,v560_improved,4100,5,1.7885434839990921
realestate,MSR,v560_improved,9056,5,3.6862931000068784
realestate,SVARM,v560_improved,9056,5,3.947023690008791
realestate,PermSamp,v560_improved,9056,5,3.319604527001502
realestate,KernelSHAP,v560_improved,9056,5,3.6659242900204845
realestate,kADDSHAP,v560_improved,9056,5,3.7246479429886676
realestate,RegressionMSR,v560_improved,9056,5,3.831628030980937
realestate,OddSHAP,v560_improved,9056,5,3.849640600004932
realestate,MSR,v560_improved,20000,5,8.300339743000222
realestate,SVARM,v560_improved,20000,5,8.789262321020942
realestate,PermSamp,v560_improved,20000,5,7.30213178700069
realestate,KernelSHAP,v560_improved,20000,5,8.251235539006302
realestate,kADDSHAP,v560_improved,20000,5,8.2879754419846
realestate,RegressionMSR,v560_improved,20000,5,8.613155236991588
realestate,OddSHAP,v560_improved,20000,5,8.423165396990953
