vf,estimator,variant,budget,n,median_runtime_s
vit16,MSR,v522_merged,17,30,0.003169909
vit16,MSR,v522_merged,37,30,0.0041319575
vit16,MSR,v522_merged,82,30,0.0075169880000000005
vit16,MSR,v522_merged,179,30,0.010879864999999999
vit16,MSR,v522_merged,394,30,0.024454860000000002
vit16,MSR,v522_merged,864,30,0.053236254999999996
vit16,MSR,v522_merged,1895,30,0.10764605
vit16,SVARM,v522_merged,17,30,0.02518029
vit16,SVARM,v522_merged,37,30,0.04102704
vit16,SVARM,v522_merged,82,30,0.05001177
vit16,SVARM,v522_merged,179,30,0.06541927
vit16,SVARM,v522_merged,394,30,0.087250865
vit16,SVARM,v522_merged,864,30,0.1553409
vit16,SVARM,v522_merged,1895,30,0.2688583
vit16,PermSamp,v522_merged,17,30,0.00045864935
vit16,PermSamp,v522_merged,37,30,0.0005691127499999999
vit16,PermSamp,v522_merged,82,30,0.0008954275
vit16,PermSamp,v522_merged,179,30,0.0013395174999999999
vit16,PermSamp,v522_merged,394,30,0.002437383
vit16,PermSamp,v522_merged,864,30,0.0047524495
vit16,PermSamp,v522_merged,1895,30,0.0097641285
vit16,KernelSHAP,v522_merged,17,30,0.0025469005
vit16,KernelSHAP,v522_merged,37,30,0.003464192
vit16,KernelSHAP,v522_merged,82,30,0.006678008
vit16,KernelSHAP,v522_merged,179,30,0.009348618999999999
vit16,KernelSHAP,v522_merged,394,30,0.021832345
vit16,KernelSHAP,v522_merged,864,30,0.05083634
vit16,KernelSHAP,v522_merged,1895,30,0.09443202
vit16,kADDSHAP,v522_merged,17,30,0.0042822220000000005
vit16,kADDSHAP,v522_merged,37,30,0.003448292
vit16,kADDSHAP,v522_merged,82,30,0.006467186
vit16,kADDSHAP,v522_merged,179,30,0.01137173
vit16,kADDSHAP,v522_merged,394,30,0.02434072
vit16,kADDSHAP,v522_merged,864,30,0.05477055
vit16,kADDSHAP,v522_merged,1895,30,0.100456
vit16,RegressionMSR,v522_merged,17,30,0.0367557
vit16,RegressionMSR,v522_merged,37,30,0.043834705
vit16,RegressionMSR,v522_merged,82,30,0.05191184
vit16,RegressionMSR,v522_merged,179,30,0.056741440000000004
vit16,RegressionMSR,v522_merged,394,30,0.08984157000000001
vit16,RegressionMSR,v522_merged,864,30,0.19550515000000002
vit16,RegressionMSR,v522_merged,1895,30,0.25095290000000003
vit16,OddSHAP,v522_merged,179,30,0.036317095
vit16,OddSHAP,v522_merged,394,30,0.06407626999999999
vit16,OddSHAP,v522_merged,864,30,0.17799575
vit16,OddSHAP,v522_merged,1895,30,0.3104437
