vf,estimator,variant,budget,n,median_runtime_s
vit16,MSR,v560_improved,17,30,0.0033908560000000003
vit16,MSR,v560_improved,37,30,0.0041191885
vit16,MSR,v560_improved,82,30,0.0072319210000000005
vit16,MSR,v560_improved,179,30,0.01096461
vit16,MSR,v560_improved,394,30,0.023079905
vit16,MSR,v560_improved,864,30,0.052312095
vit16,MSR,v560_improved,1895,30,0.09761840999999999
vit16,SVARM,v560_improved,17,30,0.025577895
vit16,SVARM,v560_improved,37,30,0.038558115000000004
vit16,SVARM,v560_improved,82,30,0.049928860000000005
vit16,SVARM,v560_improved,179,30,0.05715707
vit16,SVARM,v560_improved,394,30,0.08401899
vit16,SVARM,v560_improved,864,30,0.1508761
vit16,SVARM,v560_improved,1895,30,0.2649329
vit16,PermSamp,v560_improved,17,30,0.00046177205
vit16,PermSamp,v560_improved,37,30,0.00052910295
vit16,PermSamp,v560_improved,82,30,0.00083555835
vit16,PermSamp,v560_improved,179,30,0.0013485875
vit16,PermSamp,v560_improved,394,30,0.0024193565
vit16,PermSamp,v560_improved,864,30,0.004916772
vit16,PermSamp,v560_improved,1895,30,0.009443700499999999
vit16,KernelSHAP,v560_improved,17,30,0.002517162
vit16,KernelSHAP,v560_improved,37,30,0.0034530965
vit16,KernelSHAP,v560_improved,82,30,0.006356761000000001
vit16,KernelSHAP,v560_improved,179,30,0.009202420499999999
vit16,KernelSHAP,v560_improved,394,30,0.020897505
vit16,KernelSHAP,v560_improved,864,30,0.050046175
vit16,KernelSHAP,v560_improved,1895,30,0.09269617999999999
vit16,kADDSHAP,v560_improved,17,30,0.0045455784999999995
vit16,kADDSHAP,v560_improved,37,30,0.0034089415
vit16,kADDSHAP,v560_improved,82,30,0.006022684
vit16,kADDSHAP,v560_improved,179,30,0.01116716
vit16,kADDSHAP,v560_improved,394,30,0.023345265
vit16,kADDSHAP,v560_improved,864,30,0.053569740000000005
vit16,kADDSHAP,v560_improved,1895,30,0.1025055
vit16,RegressionMSR,v560_improved,17,30,0.030265825
vit16,RegressionMSR,v560_improved,37,30,0.03386098
vit16,RegressionMSR,v560_improved,82,30,0.042466665
vit16,RegressionMSR,v560_improved,179,30,0.0478244
vit16,RegressionMSR,v560_improved,394,30,0.0781183
vit16,RegressionMSR,v560_improved,864,30,0.1546434
vit16,RegressionMSR,v560_improved,1895,30,0.22062925
vit16,OddSHAP,v560_improved,17,30,0.0048229505
vit16,OddSHAP,v560_improved,37,30,0.0054926455
vit16,OddSHAP,v560_improved,82,30,0.019491245
vit16,OddSHAP,v560_improved,179,30,0.03053458
vit16,OddSHAP,v560_improved,394,30,0.06377625
vit16,OddSHAP,v560_improved,864,30,0.17281805
vit16,OddSHAP,v560_improved,1895,30,0.29240109999999997
