value_function,method,budget,mse
distilbert,LeverageSHAP,15.0,2.3541e-02
distilbert,LeverageSHAP,32.6,4.1638e-02
distilbert,LeverageSHAP,71.0,6.5641e-03
distilbert,LeverageSHAP,154.5,1.9460e-03
distilbert,LeverageSHAP,336.1,5.3663e-04
distilbert,LeverageSHAP,731.2,2.1392e-04
distilbert,LeverageSHAP,1590.9,7.2661e-05
distilbert,LeverageSHAP,3461.3,2.9860e-05
distilbert,LeverageSHAP,7530.6,5.6847e-06
distilbert,LeverageSHAP,16384.0,1.4646e-09
distilbert,MSR,15.0,1.1527e-01
distilbert,MSR,32.6,5.0315e-02
distilbert,MSR,71.0,1.8848e-02
distilbert,MSR,154.5,6.3749e-03
distilbert,MSR,336.1,3.5922e-03
distilbert,MSR,731.2,9.5309e-04
distilbert,MSR,1590.9,5.5450e-04
distilbert,MSR,3461.3,1.3346e-04
distilbert,MSR,7530.6,2.3914e-05
distilbert,MSR,16384.0,1.4646e-09
distilbert,OddSHAP,15.0,3.0375e-02
distilbert,OddSHAP,32.6,3.0375e-02
distilbert,OddSHAP,71.0,3.2522e-03
distilbert,OddSHAP,154.5,2.2170e-03
distilbert,OddSHAP,336.1,4.9355e-04
distilbert,OddSHAP,731.2,1.6916e-04
distilbert,OddSHAP,1590.9,4.0401e-05
distilbert,OddSHAP,3461.3,1.3024e-05
distilbert,OddSHAP,7530.6,1.6863e-06
distilbert,OddSHAP,16384.0,1.4646e-09
distilbert,PermutationSampling,15.0,2.7031e-02
distilbert,PermutationSampling,32.6,2.9289e-02
distilbert,PermutationSampling,71.0,1.3168e-02
distilbert,PermutationSampling,154.5,4.6985e-03
distilbert,PermutationSampling,336.1,2.6867e-03
distilbert,PermutationSampling,731.2,1.6138e-03
distilbert,PermutationSampling,1590.9,4.9273e-04
distilbert,PermutationSampling,3461.3,2.4989e-04
distilbert,PermutationSampling,7530.6,1.1926e-04
distilbert,PermutationSampling,16384.0,5.2788e-05
distilbert,3-PolySHAP,731.2,8.3856e-03
distilbert,3-PolySHAP,1590.9,7.0301e-05
distilbert,3-PolySHAP,3461.3,1.1399e-05
distilbert,3-PolySHAP,7530.6,2.2686e-06
distilbert,3-PolySHAP,16384.0,1.4646e-09
distilbert,ProxyLGBM,15.0,3.0375e-02
distilbert,ProxyLGBM,32.6,3.0375e-02
distilbert,ProxyLGBM,71.0,3.2522e-03
distilbert,ProxyLGBM,154.5,2.0662e-03
distilbert,ProxyLGBM,336.1,6.6868e-04
distilbert,ProxyLGBM,731.2,4.2455e-04
distilbert,ProxyLGBM,1590.9,2.9107e-04
distilbert,ProxyLGBM,3461.3,2.5698e-04
distilbert,ProxyLGBM,7530.6,3.2886e-04
distilbert,ProxyLGBM,16384.0,4.4778e-04
distilbert,RegressionMSR,15.0,1.3041e-01
distilbert,RegressionMSR,32.6,5.6744e-02
distilbert,RegressionMSR,71.0,3.9564e-03
distilbert,RegressionMSR,154.5,1.5114e-03
distilbert,RegressionMSR,336.1,3.4646e-04
distilbert,RegressionMSR,731.2,1.0506e-04
distilbert,RegressionMSR,1590.9,2.4456e-05
distilbert,RegressionMSR,3461.3,9.7904e-06
distilbert,RegressionMSR,7530.6,1.4565e-06
distilbert,RegressionMSR,16384.0,1.4646e-09
distilbert,SVARM,15.0,2.4088e-02
distilbert,SVARM,32.6,1.9925e-02
distilbert,SVARM,71.0,1.6580e-02
distilbert,SVARM,154.5,5.5744e-03
distilbert,SVARM,336.1,2.0817e-03
distilbert,SVARM,731.2,5.7570e-04
distilbert,SVARM,1590.9,2.4475e-04
distilbert,SVARM,3461.3,9.9173e-05
distilbert,SVARM,7530.6,1.5811e-05
distilbert,SVARM,16384.0,1.4646e-09
estate,LeverageSHAP,16.0,1.4038e+00
estate,LeverageSHAP,35.3,1.7765e-01
estate,LeverageSHAP,78.0,1.9133e-02
estate,LeverageSHAP,172.4,5.1868e-03
estate,LeverageSHAP,380.6,1.7622e-03
estate,LeverageSHAP,840.7,5.2050e-04
estate,LeverageSHAP,1856.6,1.8199e-04
estate,LeverageSHAP,4100.4,9.3727e-05
estate,LeverageSHAP,9055.8,2.6374e-05
estate,LeverageSHAP,20000.0,5.2839e-06
estate,MSR,16.0,9.5963e+00
estate,MSR,35.3,5.5984e+00
estate,MSR,78.0,2.3331e+00
estate,MSR,172.4,5.4176e-01
estate,MSR,380.6,1.9915e-01
estate,MSR,840.7,1.2080e-01
estate,MSR,1856.6,2.7850e-02
estate,MSR,4100.4,1.5764e-02
estate,MSR,9055.8,4.5285e-03
estate,MSR,20000.0,6.0636e-04
estate,OddSHAP,16.0,4.3387e+00
estate,OddSHAP,35.3,4.3387e+00
estate,OddSHAP,78.0,4.6190e-02
estate,OddSHAP,172.4,5.2285e-03
estate,OddSHAP,380.6,8.0381e-04
estate,OddSHAP,840.7,2.6902e-04
estate,OddSHAP,1856.6,2.8268e-05
estate,OddSHAP,4100.4,3.1265e-06
estate,OddSHAP,9055.8,1.5712e-09
estate,OddSHAP,20000.0,1.5712e-09
estate,PermutationSampling,16.0,2.5623e-01
estate,PermutationSampling,35.3,1.6134e-01
estate,PermutationSampling,78.0,7.0294e-02
estate,PermutationSampling,172.4,4.3523e-02
estate,PermutationSampling,380.6,1.3211e-02
estate,PermutationSampling,840.7,6.3639e-03
estate,PermutationSampling,1856.6,3.0169e-03
estate,PermutationSampling,4100.4,8.7172e-04
estate,PermutationSampling,9055.8,1.2866e-03
estate,PermutationSampling,20000.0,3.1793e-04
estate,3-PolySHAP,840.7,5.7270e-05
estate,3-PolySHAP,1856.6,1.5859e-07
estate,3-PolySHAP,4100.4,3.4605e-08
estate,3-PolySHAP,9055.8,1.0098e-08
estate,3-PolySHAP,20000.0,2.0452e-09
estate,ProxyLGBM,16.0,4.3387e+00
estate,ProxyLGBM,35.3,4.3387e+00
estate,ProxyLGBM,78.0,4.6190e-02
estate,ProxyLGBM,172.4,8.9880e-03
estate,ProxyLGBM,380.6,7.2739e-04
estate,ProxyLGBM,840.7,1.0096e-04
estate,ProxyLGBM,1856.6,3.0374e-05
estate,ProxyLGBM,4100.4,3.7701e-05
estate,ProxyLGBM,9055.8,5.4083e-05
estate,ProxyLGBM,20000.0,7.7014e-05
estate,RegressionMSR,16.0,7.1295e+00
estate,RegressionMSR,35.3,7.6079e+00
estate,RegressionMSR,78.0,1.6150e-02
estate,RegressionMSR,172.4,6.5498e-03
estate,RegressionMSR,380.6,5.5502e-04
estate,RegressionMSR,840.7,9.8061e-05
estate,RegressionMSR,1856.6,1.2404e-05
estate,RegressionMSR,4100.4,2.4522e-06
estate,RegressionMSR,9055.8,5.2889e-07
estate,RegressionMSR,20000.0,3.7220e-08
estate,SVARM,16.0,3.8200e+00
estate,SVARM,35.3,4.2758e+00
estate,SVARM,78.0,1.5613e+00
estate,SVARM,172.4,5.2046e-01
estate,SVARM,380.6,1.6678e-01
estate,SVARM,840.7,5.5797e-02
estate,SVARM,1856.6,3.1075e-02
estate,SVARM,4100.4,9.1099e-03
estate,SVARM,9055.8,2.9138e-03
estate,SVARM,20000.0,4.2323e-04
vit16,LeverageSHAP,17.0,1.2252e-04
vit16,LeverageSHAP,37.3,5.7850e-05
vit16,LeverageSHAP,81.8,4.3240e-05
vit16,LeverageSHAP,179.5,3.3272e-05
vit16,LeverageSHAP,393.7,2.6747e-05
vit16,LeverageSHAP,863.6,2.1492e-05
vit16,LeverageSHAP,1894.5,1.9662e-05
vit16,LeverageSHAP,4156.0,1.6539e-05
vit16,LeverageSHAP,9117.0,1.3573e-05
vit16,LeverageSHAP,20000.0,1.1576e-05
vit16,MSR,17.0,2.4644e-04
vit16,MSR,37.3,1.9773e-04
vit16,MSR,81.8,1.7737e-04
vit16,MSR,179.5,1.3982e-04
vit16,MSR,393.7,1.1310e-04
vit16,MSR,863.6,1.0362e-04
vit16,MSR,1894.5,8.9567e-05
vit16,MSR,4156.0,7.1936e-05
vit16,MSR,9117.0,5.1365e-05
vit16,MSR,20000.0,5.1477e-05
vit16,OddSHAP,17.0,1.4397e-04
vit16,OddSHAP,37.3,1.0698e-04
vit16,OddSHAP,81.8,6.5192e-05
vit16,OddSHAP,179.5,6.0555e-05
vit16,OddSHAP,393.7,2.6835e-05
vit16,OddSHAP,863.6,1.9333e-05
vit16,OddSHAP,1894.5,1.7519e-05
vit16,OddSHAP,4156.0,8.6888e-06
vit16,OddSHAP,9117.0,9.9222e-06
vit16,OddSHAP,20000.0,3.8599e-06
vit16,PermutationSampling,17.0,7.8270e-05
vit16,PermutationSampling,37.3,7.1980e-05
vit16,PermutationSampling,81.8,5.3675e-05
vit16,PermutationSampling,179.5,4.9830e-05
vit16,PermutationSampling,393.7,4.1453e-05
vit16,PermutationSampling,863.6,3.5667e-05
vit16,PermutationSampling,1894.5,2.5244e-05
vit16,PermutationSampling,4156.0,2.8294e-05
vit16,PermutationSampling,9117.0,2.1432e-05
vit16,PermutationSampling,20000.0,1.9181e-05
vit16,3-PolySHAP,4156.0,1.5384e-05
vit16,3-PolySHAP,9117.0,3.8029e-06
vit16,3-PolySHAP,20000.0,2.2813e-06
vit16,ProxyLGBM,17.0,1.4397e-04
vit16,ProxyLGBM,37.3,1.0698e-04
vit16,ProxyLGBM,81.8,6.5192e-05
vit16,ProxyLGBM,179.5,6.0555e-05
vit16,ProxyLGBM,393.7,5.2352e-05
vit16,ProxyLGBM,863.6,4.2277e-05
vit16,ProxyLGBM,1894.5,3.6450e-05
vit16,ProxyLGBM,4156.0,3.0971e-05
vit16,ProxyLGBM,9117.0,2.7403e-05
vit16,ProxyLGBM,20000.0,2.5233e-05
vit16,RegressionMSR,17.0,2.3960e-04
vit16,RegressionMSR,37.3,1.0296e-04
vit16,RegressionMSR,81.8,5.3747e-05
vit16,RegressionMSR,179.5,5.5409e-05
vit16,RegressionMSR,393.7,4.9602e-05
vit16,RegressionMSR,863.6,4.1300e-05
vit16,RegressionMSR,1894.5,3.3633e-05
vit16,RegressionMSR,4156.0,2.5316e-05
vit16,RegressionMSR,9117.0,1.8405e-05
vit16,RegressionMSR,20000.0,1.4276e-05
vit16,SVARM,17.0,1.8845e-04
vit16,SVARM,37.3,2.0001e-04
vit16,SVARM,81.8,1.9264e-04
vit16,SVARM,179.5,1.2636e-04
vit16,SVARM,393.7,9.4123e-05
vit16,SVARM,863.6,7.6427e-05
vit16,SVARM,1894.5,5.7327e-05
vit16,SVARM,4156.0,5.1237e-05
vit16,SVARM,9117.0,4.0079e-05
vit16,SVARM,20000.0,3.6782e-05
cancer,LeverageSHAP,31.0,8.7147e-02
cancer,LeverageSHAP,63.6,3.1380e-03
cancer,LeverageSHAP,130.5,8.6435e-04
cancer,LeverageSHAP,267.9,2.7077e-04
cancer,LeverageSHAP,549.7,1.0296e-04
cancer,LeverageSHAP,1127.9,3.9074e-05
cancer,LeverageSHAP,2314.6,2.6344e-05
cancer,LeverageSHAP,4749.6,1.2246e-05
cancer,LeverageSHAP,9746.4,5.1034e-06
cancer,LeverageSHAP,20000.0,2.5216e-06
cancer,MSR,31.0,1.9256e+00
cancer,MSR,63.6,7.2595e-01
cancer,MSR,130.5,4.4862e-01
cancer,MSR,267.9,1.5641e-01
cancer,MSR,549.7,6.1136e-02
cancer,MSR,1127.9,4.1485e-02
cancer,MSR,2314.6,2.1755e-02
cancer,MSR,4749.6,8.2389e-03
cancer,MSR,9746.4,1.8534e-03
cancer,MSR,20000.0,1.8713e-03
cancer,OddSHAP,31.0,1.7804e-01
cancer,OddSHAP,63.6,4.7794e-02
cancer,OddSHAP,130.5,5.3272e-03
cancer,OddSHAP,267.9,3.8421e-03
cancer,OddSHAP,549.7,1.0447e-04
cancer,OddSHAP,1127.9,2.4446e-05
cancer,OddSHAP,2314.6,1.5802e-05
cancer,OddSHAP,4749.6,7.0753e-07
cancer,OddSHAP,9746.4,1.2738e-06
cancer,OddSHAP,20000.0,1.9449e-08
cancer,PermutationSampling,31.0,1.1973e-02
cancer,PermutationSampling,63.6,8.2616e-03
cancer,PermutationSampling,130.5,2.2519e-03
cancer,PermutationSampling,267.9,1.6203e-03
cancer,PermutationSampling,549.7,7.1701e-04
cancer,PermutationSampling,1127.9,3.6840e-04
cancer,PermutationSampling,2314.6,7.9691e-05
cancer,PermutationSampling,4749.6,1.3208e-04
cancer,PermutationSampling,9746.4,3.8596e-05
cancer,PermutationSampling,20000.0,2.3607e-05
cancer,3-PolySHAP,4749.6,8.8869e-06
cancer,3-PolySHAP,9746.4,1.8209e-08
cancer,3-PolySHAP,20000.0,1.8933e-09
cancer,ProxyLGBM,31.0,1.7804e-01
cancer,ProxyLGBM,63.6,4.7794e-02
cancer,ProxyLGBM,130.5,5.3272e-03
cancer,ProxyLGBM,267.9,3.8421e-03
cancer,ProxyLGBM,549.7,2.0163e-03
cancer,ProxyLGBM,1127.9,7.8233e-04
cancer,ProxyLGBM,2314.6,4.0561e-04
cancer,ProxyLGBM,4749.6,1.9714e-04
cancer,ProxyLGBM,9746.4,1.1464e-04
cancer,ProxyLGBM,20000.0,7.9547e-05
cancer,RegressionMSR,31.0,1.6999e+00
cancer,RegressionMSR,63.6,4.0335e-02
cancer,RegressionMSR,130.5,2.2655e-03
cancer,RegressionMSR,267.9,2.5925e-03
cancer,RegressionMSR,549.7,1.5876e-03
cancer,RegressionMSR,1127.9,7.0534e-04
cancer,RegressionMSR,2314.6,2.8403e-04
cancer,RegressionMSR,4749.6,8.0711e-05
cancer,RegressionMSR,9746.4,1.9664e-05
cancer,RegressionMSR,20000.0,6.3824e-06
cancer,SVARM,31.0,5.8683e-01
cancer,SVARM,63.6,7.6377e-01
cancer,SVARM,130.5,6.4681e-01
cancer,SVARM,267.9,9.9907e-02
cancer,SVARM,549.7,2.7103e-02
cancer,SVARM,1127.9,1.0774e-02
cancer,SVARM,2314.6,3.0144e-03
cancer,SVARM,4749.6,1.8329e-03
cancer,SVARM,9746.4,6.1759e-04
cancer,SVARM,20000.0,4.2222e-04
il60,LeverageSHAP,61.0,3.7897e-02
il60,LeverageSHAP,116.1,5.2841e-02
il60,LeverageSHAP,221.0,1.4517e-03
il60,LeverageSHAP,420.6,3.6326e-04
il60,LeverageSHAP,800.6,2.1627e-04
il60,LeverageSHAP,1523.8,1.0099e-04
il60,LeverageSHAP,2900.4,5.0791e-05
il60,LeverageSHAP,5520.6,2.2364e-05
il60,LeverageSHAP,10507.7,1.0612e-05
il60,LeverageSHAP,20000.0,5.9319e-06
il60,MSR,61.0,2.6362e-01
il60,MSR,116.1,1.2956e-01
il60,MSR,221.0,7.9957e-02
il60,MSR,420.6,3.7970e-02
il60,MSR,800.6,1.8943e-02
il60,MSR,1523.8,1.0793e-02
il60,MSR,2900.4,5.3529e-03
il60,MSR,5520.6,2.6125e-03
il60,MSR,10507.7,1.5127e-03
il60,MSR,20000.0,7.8138e-04
il60,OddSHAP,61.0,1.9794e-02
il60,OddSHAP,116.1,3.8072e-03
il60,OddSHAP,221.0,1.7341e-03
il60,OddSHAP,420.6,5.5419e-04
il60,OddSHAP,800.6,1.2232e-04
il60,OddSHAP,1523.8,2.1673e-05
il60,OddSHAP,2900.4,6.7247e-06
il60,OddSHAP,5520.6,1.8874e-06
il60,OddSHAP,10507.7,5.9401e-07
il60,OddSHAP,20000.0,2.0763e-07
il60,PermutationSampling,61.0,8.6341e-03
il60,PermutationSampling,116.1,1.0568e-02
il60,PermutationSampling,221.0,4.7366e-03
il60,PermutationSampling,420.6,2.0190e-03
il60,PermutationSampling,800.6,8.7290e-04
il60,PermutationSampling,1523.8,4.1534e-04
il60,PermutationSampling,2900.4,9.6779e-05
il60,PermutationSampling,5520.6,1.2512e-04
il60,PermutationSampling,10507.7,5.3636e-05
il60,PermutationSampling,20000.0,2.9489e-05
il60,ProxyLGBM,61.0,1.9794e-02
il60,ProxyLGBM,116.1,3.8072e-03
il60,ProxyLGBM,221.0,1.7341e-03
il60,ProxyLGBM,420.6,5.5419e-04
il60,ProxyLGBM,800.6,2.8107e-04
il60,ProxyLGBM,1523.8,1.1554e-04
il60,ProxyLGBM,2900.4,6.9732e-05
il60,ProxyLGBM,5520.6,4.6334e-05
il60,ProxyLGBM,10507.7,3.7833e-05
il60,ProxyLGBM,20000.0,3.7122e-05
il60,RegressionMSR,61.0,2.2862e-02
il60,RegressionMSR,116.1,3.0731e-03
il60,RegressionMSR,221.0,1.3581e-03
il60,RegressionMSR,420.6,4.2224e-04
il60,RegressionMSR,800.6,2.4988e-04
il60,RegressionMSR,1523.8,8.9955e-05
il60,RegressionMSR,2900.4,3.0183e-05
il60,RegressionMSR,5520.6,1.0404e-05
il60,RegressionMSR,10507.7,4.2437e-06
il60,RegressionMSR,20000.0,1.6883e-06
il60,SVARM,61.0,1.0192e-01
il60,SVARM,116.1,8.1539e-02
il60,SVARM,221.0,8.0367e-02
il60,SVARM,420.6,5.0304e-02
il60,SVARM,800.6,2.1961e-02
il60,SVARM,1523.8,1.1690e-02
il60,SVARM,2900.4,4.0484e-03
il60,SVARM,5520.6,1.7886e-03
il60,SVARM,10507.7,9.9635e-04
il60,SVARM,20000.0,5.5796e-04
cg60,LeverageSHAP,61.0,2.0629e-02
cg60,LeverageSHAP,116.1,4.0724e-02
cg60,LeverageSHAP,221.0,1.6253e-03
cg60,LeverageSHAP,420.6,3.8221e-04
cg60,LeverageSHAP,800.6,2.2894e-04
cg60,LeverageSHAP,1523.8,1.0703e-04
cg60,LeverageSHAP,2900.4,4.7313e-05
cg60,LeverageSHAP,5520.6,2.2736e-05
cg60,LeverageSHAP,10507.7,1.2044e-05
cg60,LeverageSHAP,20000.0,6.7810e-06
cg60,MSR,61.0,1.6174e-01
cg60,MSR,116.1,8.7760e-02
cg60,MSR,221.0,4.8263e-02
cg60,MSR,420.6,2.0989e-02
cg60,MSR,800.6,1.0987e-02
cg60,MSR,1523.8,6.1805e-03
cg60,MSR,2900.4,2.7422e-03
cg60,MSR,5520.6,1.5713e-03
cg60,MSR,10507.7,7.8299e-04
cg60,MSR,20000.0,3.9313e-04
cg60,OddSHAP,61.0,2.2316e-02
cg60,OddSHAP,116.1,1.1410e-02
cg60,OddSHAP,221.0,3.6976e-03
cg60,OddSHAP,420.6,1.9475e-03
cg60,OddSHAP,800.6,1.8352e-04
cg60,OddSHAP,1523.8,5.4958e-05
cg60,OddSHAP,2900.4,2.0479e-05
cg60,OddSHAP,5520.6,6.0229e-06
cg60,OddSHAP,10507.7,2.0247e-06
cg60,OddSHAP,20000.0,5.9862e-07
cg60,PermutationSampling,61.0,1.1410e-02
cg60,PermutationSampling,116.1,1.0222e-02
cg60,PermutationSampling,221.0,3.2902e-03
cg60,PermutationSampling,420.6,1.4953e-03
cg60,PermutationSampling,800.6,7.3805e-04
cg60,PermutationSampling,1523.8,5.1183e-04
cg60,PermutationSampling,2900.4,1.7160e-04
cg60,PermutationSampling,5520.6,1.1839e-04
cg60,PermutationSampling,10507.7,6.0210e-05
cg60,PermutationSampling,20000.0,2.4650e-05
cg60,ProxyLGBM,61.0,2.2316e-02
cg60,ProxyLGBM,116.1,1.1410e-02
cg60,ProxyLGBM,221.0,3.6976e-03
cg60,ProxyLGBM,420.6,1.9475e-03
cg60,ProxyLGBM,800.6,1.1751e-03
cg60,ProxyLGBM,1523.8,7.5929e-04
cg60,ProxyLGBM,2900.4,4.5310e-04
cg60,ProxyLGBM,5520.6,2.9890e-04
cg60,ProxyLGBM,10507.7,2.2894e-04
cg60,ProxyLGBM,20000.0,1.9684e-04
cg60,RegressionMSR,61.0,2.4414e-02
cg60,RegressionMSR,116.1,8.6594e-03
cg60,RegressionMSR,221.0,2.3377e-03
cg60,RegressionMSR,420.6,1.2200e-03
cg60,RegressionMSR,800.6,8.8339e-04
cg60,RegressionMSR,1523.8,5.3856e-04
cg60,RegressionMSR,2900.4,2.1688e-04
cg60,RegressionMSR,5520.6,7.5277e-05
cg60,RegressionMSR,10507.7,2.8287e-05
cg60,RegressionMSR,20000.0,9.4165e-06
cg60,SVARM,61.0,6.7447e-02
cg60,SVARM,116.1,5.3075e-02
cg60,SVARM,221.0,4.9692e-02
cg60,SVARM,420.6,3.5856e-02
cg60,SVARM,800.6,1.2121e-02
cg60,SVARM,1523.8,5.4752e-03
cg60,SVARM,2900.4,2.1046e-03
cg60,SVARM,5520.6,8.7973e-04
cg60,SVARM,10507.7,4.9461e-04
cg60,SVARM,20000.0,2.7692e-04
nhanes,LeverageSHAP,80.0,5.1586e-01
nhanes,LeverageSHAP,147.8,7.8698e-01
nhanes,LeverageSHAP,272.9,5.1097e-02
nhanes,LeverageSHAP,504.0,9.6566e-03
nhanes,LeverageSHAP,930.8,3.7222e-03
nhanes,LeverageSHAP,1719.0,1.4385e-03
nhanes,LeverageSHAP,3174.8,4.9141e-04
nhanes,LeverageSHAP,5863.5,2.2279e-04
nhanes,LeverageSHAP,10829.1,1.1620e-04
nhanes,LeverageSHAP,20000.0,4.9974e-05
nhanes,MSR,80.0,3.9317e+01
nhanes,MSR,147.8,1.9734e+01
nhanes,MSR,272.9,6.1076e+00
nhanes,MSR,504.0,3.0716e+00
nhanes,MSR,930.8,1.0876e+00
nhanes,MSR,1719.0,6.7112e-01
nhanes,MSR,3174.8,2.1297e-01
nhanes,MSR,5863.5,8.9858e-02
nhanes,MSR,10829.1,5.1579e-02
nhanes,MSR,20000.0,2.7839e-02
nhanes,OddSHAP,80.0,3.1365e-01
nhanes,OddSHAP,147.8,1.1832e-01
nhanes,OddSHAP,272.9,6.3346e-02
nhanes,OddSHAP,504.0,2.6267e-02
nhanes,OddSHAP,930.8,2.9463e-03
nhanes,OddSHAP,1719.0,7.3015e-04
nhanes,OddSHAP,3174.8,2.2541e-04
nhanes,OddSHAP,5863.5,7.8830e-05
nhanes,OddSHAP,10829.1,2.4104e-05
nhanes,OddSHAP,20000.0,6.5824e-06
nhanes,PermutationSampling,80.0,6.3402e-01
nhanes,PermutationSampling,147.8,5.6378e-01
nhanes,PermutationSampling,272.9,1.2811e-01
nhanes,PermutationSampling,504.0,4.8368e-02
nhanes,PermutationSampling,930.8,2.2337e-02
nhanes,PermutationSampling,1719.0,4.5250e-03
nhanes,PermutationSampling,3174.8,3.1640e-03
nhanes,PermutationSampling,5863.5,1.9842e-03
nhanes,PermutationSampling,10829.1,9.0696e-04
nhanes,PermutationSampling,20000.0,4.2711e-04
nhanes,ProxyLGBM,80.0,3.1365e-01
nhanes,ProxyLGBM,147.8,1.1832e-01
nhanes,ProxyLGBM,272.9,6.3346e-02
nhanes,ProxyLGBM,504.0,2.6267e-02
nhanes,ProxyLGBM,930.8,1.7307e-02
nhanes,ProxyLGBM,1719.0,9.0931e-03
nhanes,ProxyLGBM,3174.8,6.1907e-03
nhanes,ProxyLGBM,5863.5,4.7265e-03
nhanes,ProxyLGBM,10829.1,3.7985e-03
nhanes,ProxyLGBM,20000.0,3.5635e-03
nhanes,RegressionMSR,80.0,3.6127e-01
nhanes,RegressionMSR,147.8,1.1251e-01
nhanes,RegressionMSR,272.9,4.1247e-02
nhanes,RegressionMSR,504.0,1.7214e-02
nhanes,RegressionMSR,930.8,1.2208e-02
nhanes,RegressionMSR,1719.0,4.4603e-03
nhanes,RegressionMSR,3174.8,1.7744e-03
nhanes,RegressionMSR,5863.5,5.9264e-04
nhanes,RegressionMSR,10829.1,1.7445e-04
nhanes,RegressionMSR,20000.0,5.6574e-05
nhanes,SVARM,80.0,2.0488e+01
nhanes,SVARM,147.8,2.0998e+01
nhanes,SVARM,272.9,2.1492e+01
nhanes,SVARM,504.0,1.5919e+01
nhanes,SVARM,930.8,5.5471e+00
nhanes,SVARM,1719.0,3.4692e-01
nhanes,SVARM,3174.8,6.4632e-02
nhanes,SVARM,5863.5,2.2469e-02
nhanes,SVARM,10829.1,1.0247e-02
nhanes,SVARM,20000.0,4.6575e-03
crime,LeverageSHAP,102.0,1.2212e+02
crime,LeverageSHAP,183.4,1.6572e+02
crime,LeverageSHAP,329.6,2.2958e+01
crime,LeverageSHAP,592.6,6.8846e+00
crime,LeverageSHAP,1065.3,3.4561e+00
crime,LeverageSHAP,1915.0,1.7383e+00
crime,LeverageSHAP,3442.6,7.9972e-01
crime,LeverageSHAP,6188.7,4.5143e-01
crime,LeverageSHAP,11125.4,2.8200e-01
crime,LeverageSHAP,20000.0,1.5323e-01
crime,MSR,102.0,2.8006e+03
crime,MSR,183.4,1.7016e+03
crime,MSR,329.6,7.2889e+02
crime,MSR,592.6,4.4349e+02
crime,MSR,1065.3,2.0939e+02
