value_function,budget,median,q1,q3
cancer,31,1.780400e-01,1.411313e-01,2.723146e-01
cancer,63.6,4.779400e-02,3.012999e-02,6.962159e-02
cancer,130.5,5.327200e-03,3.600755e-03,8.074577e-03
cancer,267.9,3.842100e-03,2.676017e-03,4.802787e-03
cancer,549.7,1.044700e-04,5.084736e-05,1.663129e-04
cancer,1127.9,2.444600e-05,1.487942e-05,4.035673e-05
cancer,2314.6,1.580200e-05,9.537906e-06,2.477688e-05
cancer,4749.6,7.075300e-07,4.423059e-07,1.152112e-06
cancer,9746.4,1.273800e-06,6.256078e-07,1.788603e-06
cancer,20000,1.944900e-08,1.549061e-08,3.456350e-08
estate,16,4.338700e+00,2.171253e+00,7.091671e+00
estate,35.3,4.338700e+00,2.171253e+00,7.091671e+00
estate,78,4.619000e-02,2.995910e-02,8.750703e-02
estate,172.4,5.228500e-03,2.468587e-03,1.095346e-02
estate,380.6,8.038100e-04,3.660097e-04,1.997234e-03
estate,840.7,2.690200e-04,7.394204e-05,6.904971e-04
estate,1856.6,2.826800e-05,4.468499e-06,7.129876e-05
estate,4100.4,3.126500e-06,6.051129e-07,1.052678e-05
estate,9055.8,1.571200e-09,1.571200e-09,4.901781e-09
estate,20000,1.571200e-09,1.571200e-09,1.571200e-09
cg60,61,2.231600e-02,1.906163e-02,2.918944e-02
cg60,116.1,1.141000e-02,8.181130e-03,1.331009e-02
cg60,221,3.697600e-03,3.383577e-03,4.987318e-03
cg60,420.6,1.947500e-03,1.357032e-03,2.627230e-03
cg60,800.6,1.835200e-04,1.340024e-04,2.283957e-04
cg60,1523.8,5.495800e-05,3.715190e-05,6.506312e-05
cg60,2900.4,2.047900e-05,1.513253e-05,2.595365e-05
cg60,5520.6,6.022900e-06,4.482684e-06,8.355628e-06
cg60,10507.7,2.024700e-06,1.430480e-06,2.565719e-06
cg60,20000,5.986200e-07,4.655868e-07,8.886318e-07
il60,61,1.979400e-02,1.281106e-02,2.770487e-02
il60,116.1,3.807200e-03,2.152051e-03,5.285181e-03
il60,221,1.734100e-03,1.292369e-03,2.353046e-03
il60,420.6,5.541900e-04,3.725221e-04,8.421085e-04
il60,800.6,1.223200e-04,8.374860e-05,1.489592e-04
il60,1523.8,2.167300e-05,1.571997e-05,2.415888e-05
il60,2900.4,6.724700e-06,4.266019e-06,8.813507e-06
il60,5520.6,1.887400e-06,1.341738e-06,2.256147e-06
il60,10507.7,5.940100e-07,4.329476e-07,7.736157e-07
il60,20000,2.076300e-07,1.391532e-07,2.994421e-07
nhanes,80,3.136500e-01,1.896545e-01,4.380852e-01
nhanes,147.8,1.183200e-01,7.989586e-02,1.812330e-01
nhanes,272.9,6.334600e-02,4.431369e-02,7.471741e-02
nhanes,504,2.626700e-02,1.961352e-02,3.670545e-02
nhanes,930.8,2.946300e-03,2.279577e-03,3.926012e-03
nhanes,1719,7.301500e-04,5.325661e-04,9.752561e-04
nhanes,3174.8,2.254100e-04,2.017077e-04,3.046513e-04
nhanes,5863.5,7.883000e-05,5.471484e-05,8.969702e-05
nhanes,10829.1,2.410400e-05,1.900859e-05,3.456278e-05
nhanes,20000,6.582400e-06,4.559495e-06,9.857995e-06
crime,102,8.522800e+01,5.617739e+01,1.171347e+02
crime,183.4,4.212300e+01,3.073598e+01,6.344524e+01
crime,329.6,2.681500e+01,2.042452e+01,4.280924e+01
crime,592.6,1.419100e+01,1.039099e+01,1.870329e+01
crime,1065.3,2.918800e+00,1.946469e+00,5.960534e+00
crime,1915,1.064700e+00,7.882997e-01,1.850094e+00
crime,3442.6,4.552700e-01,3.279933e-01,7.409716e-01
crime,6188.7,2.130300e-01,1.781593e-01,3.376356e-01
crime,11125.4,9.045600e-02,7.152347e-02,1.389822e-01
crime,20000,3.539600e-02,2.956179e-02,5.330469e-02
distilbert,15,3.037500e-02,8.107451e-03,6.732491e-02
distilbert,32.6,3.037500e-02,8.107451e-03,6.732491e-02
distilbert,71,3.252200e-03,1.910022e-03,8.140346e-03
distilbert,154.5,2.217000e-03,1.005725e-03,3.904735e-03
distilbert,336.1,4.935500e-04,2.290095e-04,8.825437e-04
distilbert,731.2,1.691600e-04,8.041402e-05,2.509449e-04
distilbert,1590.9,4.040100e-05,1.646071e-05,6.518358e-05
distilbert,3461.3,1.302400e-05,5.414396e-06,1.982656e-05
distilbert,7530.6,1.686300e-06,6.412961e-07,3.329668e-06
distilbert,16384,1.464600e-09,1.464600e-09,1.464600e-09
vit16,17,1.439700e-04,9.766269e-05,2.155960e-04
vit16,37.3,1.069800e-04,7.257036e-05,1.602032e-04
vit16,81.8,6.519200e-05,2.861365e-05,9.460732e-05
vit16,179.5,6.055500e-05,3.558719e-05,9.052085e-05
vit16,393.7,2.683500e-05,1.341202e-05,4.507169e-05
vit16,863.6,1.933300e-05,1.207397e-05,3.225734e-05
vit16,1894.5,1.751900e-05,1.220357e-05,3.533362e-05
vit16,4156,8.688800e-06,5.132140e-06,1.298974e-05
vit16,9117,9.922200e-06,5.596695e-06,1.812783e-05
vit16,20000,3.859900e-06,2.546689e-06,8.429957e-06
