value_function,position,n_interactions,eta,median,q1,q3
distilbert,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
distilbert,1,200,50,0.4682128746801523,0.26784997011828743,0.642004125018854
distilbert,2,1000,10,0.3584597033210822,0.20506360678089292,0.5097454997573463
distilbert,3,2000,5,0.5035939873564272,0.34986025857345077,0.6041899512952542
distilbert,4,5000,2,12.121906623696201,4.371699969901605,414.929575419316
vit16,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
vit16,1,200,50,0.18161844400492716,0.12166213537819752,0.291609488464424
vit16,2,1000,10,0.11174944785636806,0.07954359053245975,0.17726141932432496
vit16,3,2000,5,0.12771646554336163,0.09314347236365475,0.20258893791046573
vit16,4,5000,2,37.04029465441808,16.824348872258707,94.33763177772404
cancer,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
cancer,1,200,50,0.06089788086847746,0.040301833118826735,0.08765730287046808
cancer,2,1000,10,0.015632966578690774,0.0066825299118843115,0.023622114992215358
cancer,3,2000,5,0.01471218166316631,0.0062130339494402345,0.022230767607946993
cancer,4,5000,2,110.46690926977126,52.67293181031102,181.7270730833159
corrgroups60,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
corrgroups60,1,200,50,0.2372263687511728,0.17726141932432496,0.36727051946102146
corrgroups60,2,1000,10,0.14955265407421234,0.10264441814524489,0.1838369536348704
corrgroups60,3,2000,5,0.14246319116909922,0.11311449218085014,0.18835560268578622
corrgroups60,4,5000,2,11.270255184496776,8.948481228598666,19.700874246809693
independentlinear60,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
independentlinear60,1,200,50,0.09201943453383098,0.06629980164187316,0.12166213537819752
independentlinear60,2,1000,10,0.04441275492197479,0.033186310674553667,0.05871966752685772
independentlinear60,3,2000,5,0.04835236956858132,0.03569407724993532,0.06792942794845326
independentlinear60,4,5000,2,12.419858916624444,8.120194249951775,25.732886791318286
nhanes,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
nhanes,1,200,50,0.15137947295852272,0.1077523606873566,0.19298531857523277
nhanes,2,1000,10,0.04719239669947012,0.03569407724993532,0.06239472982157547
nhanes,3,2000,5,0.04282418642124058,0.032785824546176956,0.05393535469386295
nhanes,4,5000,2,18.996207573454516,13.037914207633873,36.5932993753841
crime,0,0,inf,0.9700970823633688,0.9700970823633688,0.9700970823633688
crime,1,200,50,0.3717568104249305,0.2711218169912372,0.4514656986569174
crime,2,1000,10,0.29517156313082576,0.21267046667952016,0.3808944648811425
crime,3,2000,5,0.3174765848393769,0.2551526867498026,0.4460174958867122
crime,4,5000,2,8.219384226163893,5.710226815406678,11.270255184496776
