estimator,statistic,DistilBERT,Estate,ViT16,Cancer,CG60,IL60,NHANES,Crime
MSR,mean,7.5e-4,2.8e-2,1.2e-4,2.2e-2,2.1e-3,3.5e-3,5.6e-2,3.6e+1
MSR,q1,1.6e-4,1.7e-2,4.4e-5,1.2e-2,1.1e-3,1.9e-3,2.5e-2,9.7e+0
MSR,median,5.6e-4,2.8e-2,1.2e-4,2.3e-2,1.6e-3,2.7e-3,5.0e-2,2.4e+1
MSR,q3,8.8e-4,4.0e-2,1.8e-4,2.9e-2,2.1e-3,4.5e-3,8.1e-2,3.7e+1
SVARM,mean,3.7e-4,3.3e-2,5.7e-5,3.5e-3,9.7e-4,2.2e-3,4.6e-2,1.5e+1
SVARM,q1,6.5e-5,1.6e-2,2.6e-5,2.3e-3,7.8e-4,1.6e-3,2.3e-2,5.3e+0
SVARM,median,2.4e-4,3.2e-2,5.2e-5,3.0e-3,8.7e-4,1.8e-3,4.0e-2,7.2e+0
SVARM,q3,4.7e-4,4.8e-2,7.5e-5,4.7e-3,1.1e-3,2.4e-3,6.0e-2,1.1e+1
PermutationSampling,mean,6.2e-4,5.3e-3,1.2e-4,1.1e-4,1.4e-4,1.3e-4,3.7e-3,2.7e+0
PermutationSampling,q1,2.3e-4,1.9e-3,6.2e-5,5.3e-5,8.0e-5,9.1e-5,2.2e-3,8.6e-1
PermutationSampling,median,4.9e-4,2.9e-3,9.1e-5,7.2e-5,1.2e-4,1.2e-4,3.2e-3,1.2e+0
PermutationSampling,q3,8.6e-4,4.4e-3,1.6e-4,1.7e-4,1.6e-4,1.9e-4,5.0e-3,2.6e+0
3-PolySHAP,mean,8.0e-5,3.2e-7,3.8e-5,4.0e-5,,,,
3-PolySHAP,q1,4.5e-5,3.1e-8,1.7e-5,1.3e-5,,,,
3-PolySHAP,median,6.6e-5,1.1e-7,2.8e-5,2.7e-5,,,,
3-PolySHAP,q3,1.1e-4,3.7e-7,4.8e-5,6.2e-5,,,,
LeverageSHAP,mean,7.7e-5,3.4e-4,3.5e-5,3.2e-5,2.5e-5,2.6e-5,7.0e-4,7.5e-1
LeverageSHAP,q1,3.2e-5,9.2e-5,1.9e-5,1.1e-5,1.8e-5,1.3e-5,4.2e-4,1.9e-1
LeverageSHAP,median,6.9e-5,1.6e-4,2.7e-5,2.3e-5,2.2e-5,2.2e-5,6.2e-4,2.7e-1
LeverageSHAP,q3,1.1e-4,2.6e-4,4.3e-5,4.2e-5,3.2e-5,3.2e-5,8.3e-4,5.8e-1
RegressionMSR,mean,3.1e-5,1.3e-5,1.0e-5,3.0e-4,7.6e-5,9.7e-6,2.7e-4,5.6e-1
RegressionMSR,q1,1.4e-5,6.5e-6,4.4e-6,1.8e-4,5.0e-5,6.1e-6,1.7e-4,3.0e-1
RegressionMSR,median,2.2e-5,1.0e-5,8.9e-6,2.7e-4,7.4e-5,1.0e-5,2.5e-4,3.6e-1
RegressionMSR,q3,4.1e-5,1.8e-5,1.2e-5,4.1e-4,1.0e-4,1.2e-5,3.2e-4,5.4e-1
OddSHAP,mean,5.2e-5,6.1e-5,1.5e-5,2.3e-5,6.4e-6,2.3e-6,4.6e-5,1.5e-1
OddSHAP,q1,2.1e-5,5.8e-6,6.3e-6,1.3e-5,4.4e-6,1.3e-6,2.7e-5,7.6e-2
OddSHAP,median,4.8e-5,4.0e-5,1.1e-5,2.0e-5,6.2e-6,2.0e-6,4.2e-5,9.9e-2
OddSHAP,q3,6.6e-5,1.0e-4,2.1e-5,3.0e-5,7.6e-6,2.5e-6,5.0e-5,1.5e-1
